count, parallel 8 bit, parallel 14 bit, serial
          0,'00,'0000,'ff
          1,'55,'2655,'fe
          2,'e6,'34bb,'fc
          3,'2e,'1bd8,'f8
          4,'8d,'126d,'f0
          5,'bd,'3a1c,'e0
          6,'b5,'2753,'c0
          7,'49,'1e45,'81
          8,'1c,'0614,'02
          9,'fa,'3e04,'04
         10,'d4,'0cab,'08
         11,'59,'2977,'10
         12,'e4,'37b1,'20
         13,'51,'24da,'41
         14,'18,'3438,'83
         15,'04,'0ea7,'06
         16,'fe,'3c8b,'0c
         17,'2a,'0c28,'18
         18,'73,'3c08,'30
         19,'97,'1957,'61
         20,'c6,'12ee,'c2
         21,'de,'2f63,'85
         22,'da,'09b5,'0a
         23,'24,'2871,'14
         24,'0e,'1d4f,'28
         25,'7d,'3916,'51
         26,'ea,'1851,'a3
         27,'2c,'3810,'47
         28,'f2,'32af,'8f
         29,'28,'25dc,'1e
         30,'0c,'1ec6,'3c
         31,'02,'136b,'79
         32,'7f,'10e2,'f2
         33,'95,'3a9f,'e4
         34,'b9,'322c,'c8
         35,'4b,'30a3,'91
         36,'63,'3020,'22
         37,'6f,'255f,'45
         38,'6d,'0bb9,'8b
         39,'12,'3d8d,'16
         40,'87,'26d6,'2c
         41,'3e,'21c4,'59
         42,'75,'353e,'b3
         43,'16,'2459,'67
         44,'79,'2147,'ce
         45,'14,'2041,'9d
         46,'06,'0abf,'3a
         47,'81,'1773,'75
         48,'bf,'3b1a,'ea
         49,'ca,'0dad,'d4
         50,'dc,'0389,'a9
         51,'a5,'2a7d,'53
         52,'b1,'08b3,'a7
         53,'b7,'028f,'4f
         54,'36,'0083,'9f
         55,'89,'157f,'3e
         56,'43,'2ee6,'7d
         57,'9f,'3634,'fa
         58,'3a,'1b5b,'f4
         59,'8b,'0712,'e8
         60,'3c,'14fa,'d0
         61,'0a,'1167,'a1
         62,'83,'051e,'43
         63,'c0,'0106,'87
         64,'5f,'2afe,'0e
         65,'65,'1dcc,'1c
         66,'ee,'2c69,'38
         67,'d2,'36b7,'71
         68,'d8,'0e24,'e2
         69,'5b,'29f4,'c4
         70,'9b,'22ce,'89
         71,'c4,'0a3c,'12
         72,'a1,'020c,'24
         73,'4f,'15fc,'49
         74,'9d,'3b99,'93
         75,'45,'18d2,'26
         76,'1e,'2d6f,'4d
         77,'85,'1c49,'9b
         78,'41,'13e8,'36
         79,'e0,'059d,'6d
         80,'af,'1479,'da
         81,'32,'0418,'b5
         82,'77,'2bf8,'6b
         83,'69,'3732,'d6
         84,'ec,'31a5,'ad
         85,'ad,'1ade,'5b
         86,'4d,'3893,'b7
         87,'e2,'27d0,'6f
         88,'d0,'0b3a,'de
         89,'a7,'28f2,'bd
         90,'ce,'0830,'7b
         91,'22,'17f0,'f6
         92,'8f,'2e65,'ec
         93,'c2,'234b,'d8
         94,'20,'35bd,'b1
         95,'f0,'3126,'63
         96,'57,'0fa1,'c6
         97,'99,'1675,'8d
         98,'bb,'11e4,'1a
         99,'34,'1061,'34
        100,'f6,'2fe0,'69
        101,'d6,'1cca,'d2
        102,'26,'0697,'a5
        103,'71,'2b7b,'4b
        104,'e8,'224d,'97
        105,'53,'1f43,'2e
        106,'67,'2cea,'5d
        107,'91,'23c8,'bb
        108,'47,'20c2,'77
        109,'61,'1fc0,'ee
        110,'10,'3995,'dc
        111,'f8,'0d2e,'b9
        112,'ab,'16f6,'73
        113,'cc,'049b,'e6
        114,'5d,'3e87,'cc
        115,'1a,'19d4,'99
        116,'7b,'0791,'32
        117,'6b,'0185,'65
        118,'93,'3f81,'ca
        119,'38,'332a,'95
        120,'f4,'1a5d,'2a
        121,'a9,'2dec,'55
        122,'b3,'0936,'ab
        123,'c8,'3d0e,'57
        124,'a3,'33a9,'af
        125,'30,'0f22,'5f
        126,'08,'030a,'bf
        127,'fc,'3f02,'7f
        128,'55,'2655,'fe
        129,'e6,'34bb,'fc
        130,'2e,'1bd8,'f8
        131,'8d,'126d,'f0
        132,'bd,'3a1c,'e0
        133,'b5,'2753,'c0
        134,'49,'1e45,'81
        135,'1c,'0614,'02
        136,'fa,'3e04,'04
        137,'d4,'0cab,'08
        138,'59,'2977,'10
        139,'e4,'37b1,'20
        140,'51,'24da,'41
        141,'18,'3438,'83
        142,'04,'0ea7,'06
        143,'fe,'3c8b,'0c
        144,'2a,'0c28,'18
        145,'73,'3c08,'30
        146,'97,'1957,'61
        147,'c6,'12ee,'c2
        148,'de,'2f63,'85
        149,'da,'09b5,'0a
        150,'24,'2871,'14
        151,'0e,'1d4f,'28
        152,'7d,'3916,'51
        153,'ea,'1851,'a3
        154,'2c,'3810,'47
        155,'f2,'32af,'8f
        156,'28,'25dc,'1e
        157,'0c,'1ec6,'3c
        158,'02,'136b,'79
        159,'7f,'10e2,'f2
        160,'95,'3a9f,'e4
        161,'b9,'322c,'c8
        162,'4b,'30a3,'91
        163,'63,'3020,'22
        164,'6f,'255f,'45
        165,'6d,'0bb9,'8b
        166,'12,'3d8d,'16
        167,'87,'26d6,'2c
        168,'3e,'21c4,'59
        169,'75,'353e,'b3
        170,'16,'2459,'67
        171,'79,'2147,'ce
        172,'14,'2041,'9d
        173,'06,'0abf,'3a
        174,'81,'1773,'75
        175,'bf,'3b1a,'ea
        176,'ca,'0dad,'d4
        177,'dc,'0389,'a9
        178,'a5,'2a7d,'53
        179,'b1,'08b3,'a7
        180,'b7,'028f,'4f
        181,'36,'0083,'9f
        182,'89,'157f,'3e
        183,'43,'2ee6,'7d
        184,'9f,'3634,'fa
        185,'3a,'1b5b,'f4
        186,'8b,'0712,'e8
        187,'3c,'14fa,'d0
        188,'0a,'1167,'a1
        189,'83,'051e,'43
        190,'c0,'0106,'87
        191,'5f,'2afe,'0e
        192,'65,'1dcc,'1c
        193,'ee,'2c69,'38
        194,'d2,'36b7,'71
        195,'d8,'0e24,'e2
        196,'5b,'29f4,'c4
        197,'9b,'22ce,'89
        198,'c4,'0a3c,'12
        199,'a1,'020c,'24
        200,'4f,'15fc,'49
        201,'9d,'3b99,'93
        202,'45,'18d2,'26
        203,'1e,'2d6f,'4d
        204,'85,'1c49,'9b
        205,'41,'13e8,'36
        206,'e0,'059d,'6d
        207,'af,'1479,'da
        208,'32,'0418,'b5
        209,'77,'2bf8,'6b
        210,'69,'3732,'d6
        211,'ec,'31a5,'ad
        212,'ad,'1ade,'5b
        213,'4d,'3893,'b7
        214,'e2,'27d0,'6f
