A-Z80 Timing Table	M_	T_	Function	valid	nextM	setM1	A:reg rd	A:reg wr	inc/dec	A:latch	D:reg rd	D:reg wr	Reg gate	SW2	SW1	DB pads	FLAGT	ALU	ALU bus	op2 latch	op1 latch	nibble	operation		SZ	XY	HF	PF	NF	CF	CF2		Special	Comments
																																		
// 8-bit Load Group																																		
																																		
"#if pla[17] && !pla[50] : ld r,n"			"4,3"																															
#001H T1  AB:000 DB:--  M1	1	1	fMFetch									r8	<	d	<	R																		
#002H T2  AB:000 DB:46  M1      MREQ RD	1	2	fMFetch																															
#003H T3  AB:000 DB:--     RFSH	1	3	fMFetch																															
#004H T4  AB:000 DB:--     RFSH MREQ	1	4	fMFetch	1	mr																													
#005H T5  AB:001 DB:--	2	1	fMRead				PC		 	W																								
#006H T6  AB:001 DB:01          MREQ RD	2	2	fMRead					PC	+	R																								
#007H T7  AB:001 DB:01          MREQ RD	2	3	fMRead		1	1																												
#end																																		
																																		
"#if pla[61] && !pla[58] && !pla[59] : ld r,r'"			4																															
#001H T1  AB:000 DB:--  M1	1	1	fMFetch									r8	<	u				<	op1															
#002H T2  AB:000 DB:05  M1      MREQ RD	1	2	fMFetch																															
#003H T3  AB:000 DB:--     RFSH	1	3	fMFetch																															
#004H T4  AB:000 DB:--     RFSH MREQ	1	4	fMFetch	1	1	1					r8'		>	d				>s0			bus													
#end																																		
																																		
"#if use_ixiy && pla[58] : ld r,(ix+d)"			"4,3,5,3"																															
#005H T1  AB:001 DB:--  M1	1	1	fMFetch									r8	<	d	<	R																		
#006H T2  AB:001 DB:4E  M1      MREQ RD	1	2	fMFetch																															
#007H T3  AB:001 DB:--     RFSH	1	3	fMFetch																															
#008H T4  AB:001 DB:--     RFSH MREQ	1	4	fMFetch	1	mr																													
#009H T5  AB:002 DB:--	2	1	fMRead				PC			W																								
#010H T6  AB:002 DB:01          MREQ RD	2	2	fMRead					PC	+	R																								
#011H T7  AB:002 DB:01          MREQ RD	2	3	fMRead	 	1																													
#012H T8  AB:002 DB:--	3	1																															WZ=IX+d	
#013H T9  AB:002 DB:--	3	2																															WZ=IX+d	
#014H T10 AB:002 DB:--	3	3																															WZ=IX+d	
#015H T11 AB:002 DB:--	3	4																															WZ=IX+d	
#016H T12 AB:002 DB:--	3	5			mr																												WZ=IX+d	Clears the IX/IY and ...
#end																																		
																																		
"#if ~use_ixiy && pla[58] : ld r,(hl)"			"4,3"																															
#001H T1  AB:000 DB:--  M1	1	1	fMFetch									r8	<	d	<	R																		
#002H T2  AB:000 DB:46  M1      MREQ RD	1	2	fMFetch																															
#003H T3  AB:000 DB:--     RFSH	1	3	fMFetch																															
#004H T4  AB:000 DB:--     RFSH MREQ	1	4	fMFetch	1	mr																													
#005H T5  AB:003 DB:--	2	1	fMRead				HL			W																								
#006H T6  AB:003 DB:03          MREQ RD	2	2	fMRead																															
#007H T7  AB:003 DB:03          MREQ RD	2	3	fMRead		1	1																												
																																		
#017H T13 AB:001 DB:--	4	1	fMRead							R																								...continues here
#018H T14 AB:001 DB:4E          MREQ RD	4	2	fMRead																															
#019H T15 AB:001 DB:4E          MREQ RD	4	3	fMRead		1	1																												
#end																																		
																																		
"#if use_ixiy && pla[59] : ld (ix+d),r"			"4,3,5,3"																															
#005H T1  AB:001 DB:--  M1	1	1	fMFetch																															
#006H T2  AB:001 DB:70  M1      MREQ RD	1	2	fMFetch																															
#007H T3  AB:001 DB:--     RFSH	1	3	fMFetch																															
#008H T4  AB:001 DB:--     RFSH MREQ	1	4	fMFetch	1	mr																													
#009H T5  AB:002 DB:--	2	1	fMRead				PC			W																								
#010H T6  AB:002 DB:01          MREQ RD	2	2	fMRead					PC	+	R																								
#011H T7  AB:002 DB:01          MREQ RD	2	3	fMRead	 	1																													
#012H T8  AB:002 DB:--	3	1																															WZ=IX+d	
#013H T9  AB:002 DB:--	3	2																															WZ=IX+d	
#014H T10 AB:002 DB:--	3	3																															WZ=IX+d	
#015H T11 AB:002 DB:--	3	4																															WZ=IX+d	
#016H T12 AB:002 DB:--	3	5			mw																												WZ=IX+d	Clears the IX/IY and ...
#end																																		
																																		
"#if ~use_ixiy && pla[59] : ld (hl),r"			"4,3"																															
#001H T1  AB:000 DB:--  M1	1	1	fMFetch																															
#002H T2  AB:000 DB:70  M1      MREQ RD	1	2	fMFetch																															
#003H T3  AB:000 DB:--     RFSH	1	3	fMFetch																															
#004H T4  AB:000 DB:--     RFSH MREQ	1	4	fMFetch	1	mw						r8'		>	u	>	W																		
#005H T5  AB:001 DB:--	2	1	fMWrite				HL			W																								
#006H T6  AB:001 DB:01          MREQ	2	2	fMWrite																															
#007H T7  AB:001 DB:01          MREQ    WR	2	3	fMWrite		1	1																												
																																		
#017H T13 AB:000 DB:--	4	1	fMWrite							R	r8'		>	u	>	W																		...continues here
#018H T14 AB:000 DB:46          MREQ	4	2	fMWrite																															
#019H T15 AB:000 DB:46          MREQ    WR	4	3	fMWrite		1	1																												
#end																																		
																																		
"#if pla[40] : ld (ix+d),n"			"4,3,5,3"																															
#005H T1  AB:001 DB:--  M1	1	1	fMFetch																															
#006H T2  AB:001 DB:36  M1      MREQ RD	1	2	fMFetch																															
#007H T3  AB:001 DB:--     RFSH	1	3	fMFetch																															
#008H T4  AB:001 DB:--     RFSH MREQ	1	4	fMFetch	1	mr																													
#009H T5  AB:002 DB:--	2	1	fMRead				PC			W																								
#010H T6  AB:002 DB:01          MREQ RD	2	2	fMRead					PC	+	R																								
#011H T7  AB:002 DB:01          MREQ RD	2	3	fMRead	 	mr																													
#012H T8  AB:003 DB:--	3	1	fMRead				PC			W																							WZ=IX+d	
#013H T9  AB:003 DB:02          MREQ RD	3	2	fMRead					PC	+	R																							WZ=IX+d	
#014H T10 AB:003 DB:02          MREQ RD	3	3	fMRead																														WZ=IX+d	"Reads ""n"" at the same time"
#015H T11 AB:003 DB:--	3	4																															WZ=IX+d	
#016H T12 AB:003 DB:--	3	5			mw																												WZ=IX+d	Clears the IX/IY and ...
#end																																		
																																		
"#if pla[50] && !pla[40] : ld (hl),n"			"4,3,3"																															
#001H T1  AB:000 DB:--  M1	1	1	fMFetch																															
#002H T2  AB:000 DB:36  M1      MREQ RD	1	2	fMFetch																															
#003H T3  AB:000 DB:--     RFSH	1	3	fMFetch																															
#004H T4  AB:000 DB:--     RFSH MREQ	1	4	fMFetch	1	mr																													
#005H T5  AB:001 DB:--	2	1	fMRead				PC			W																								
#006H T6  AB:001 DB:01          MREQ RD	2	2	fMRead					PC	+	R																								
#007H T7  AB:001 DB:01          MREQ RD	2	3	fMRead	 	mw																													
#008H T8  AB:001 DB:--	3	1	fMWrite				HL			W																								
#009H T9  AB:001 DB:01          MREQ	3	2	fMWrite																															
#010H T10 AB:001 DB:01          MREQ    WR	3	3	fMWrite		1	1																												
																																		
#017H T13 AB:002 DB:--	4	1	fMWrite							R																								...continues here
#018H T14 AB:002 DB:02          MREQ	4	2	fMWrite																															
#019H T15 AB:002 DB:02          MREQ    WR	4	3	fMWrite		1	1																												
#end																																		
																																		
"#if pla[8] && pla[13] : ld (rr),a"			"4,3"																															
#001H T1  AB:000 DB:--  M1	1	1	fMFetch																															
#002H T2  AB:000 DB:02  M1      MREQ RD	1	2	fMFetch																															
#003H T3  AB:000 DB:--     RFSH	1	3	fMFetch																															
#004H T4  AB:000 DB:--     RFSH MREQ	1	4	fMFetch	1	mw						A		>	u	>	W																		
#005H T5  AB:001 DB:--	2	1	fMWrite				r16			W																								
#006H T6  AB:001 DB:FF          MREQ	2	2	fMWrite					WZ	+	R																								
#007H T7  AB:001 DB:FF          MREQ    WR	2	3	fMWrite		1	1																												
#end																																		
																																		
"#if pla[8] && !pla[13] : ld a,(rr)"			"4,3"																															
#001H T1  AB:000 DB:--  M1	1	1	fMFetch									A	<	d	<	R																		
#002H T2  AB:000 DB:0A  M1      MREQ RD	1	2	fMFetch																															
#003H T3  AB:000 DB:--     RFSH	1	3	fMFetch																															
#004H T4  AB:000 DB:--     RFSH MREQ	1	4	fMFetch	1	mr																													
#005H T5  AB:002 DB:--	2	1	fMRead				r16			W																								
#006H T6  AB:002 DB:02          MREQ RD	2	2	fMRead					WZ	+	R																								
#007H T7  AB:002 DB:02          MREQ RD	2	3	fMRead		1	1																												
#end																																		
																																		
"#if pla[38] && pla[13] : ld (nn),a"			"4,3,3,3"																															
#001H T1  AB:000 DB:--  M1	1	1	fMFetch																															
#002H T2  AB:000 DB:32  M1      MREQ RD	1	2	fMFetch																															
#003H T3  AB:000 DB:--     RFSH	1	3	fMFetch																															
#004H T4  AB:000 DB:--     RFSH MREQ	1	4	fMFetch	1	mr																													
#005H T5  AB:001 DB:--	2	1	fMRead				PC			W																								
#006H T6  AB:001 DB:01          MREQ RD	2	2	fMRead					PC	+	R																								
#007H T7  AB:001 DB:01          MREQ RD	2	3	fMRead		mr							Z	<l	d	<	R																		
#008H T8  AB:002 DB:--	3	1	fMRead				PC			W																								
#009H T9  AB:002 DB:02          MREQ RD	3	2	fMRead					PC	+	R																								
#010H T10 AB:002 DB:02          MREQ RD	3	3	fMRead		mw		WZ			W		W	<h	d	<	R																		
#011H T11 AB:001 DB:--	4	1	fMWrite							R	A		>	u	>	W																		
#012H T12 AB:001 DB:FE          MREQ	4	2	fMWrite					WZ	+	R																								
#013H T13 AB:001 DB:FE          MREQ    WR	4	3	fMWrite		1	1																												
#end																																		
																																		
"#if pla[38] && !pla[13] : ld a,(nn)"			"4,3,3,3"																															
#001H T1  AB:000 DB:--  M1	1	1	fMFetch									A	<	d	<	R																		
#002H T2  AB:000 DB:3A  M1      MREQ RD	1	2	fMFetch																															
#003H T3  AB:000 DB:--     RFSH	1	3	fMFetch																															
#004H T4  AB:000 DB:--     RFSH MREQ	1	4	fMFetch	1	mr																													
#005H T5  AB:001 DB:--	2	1	fMRead				PC			W																								
#006H T6  AB:001 DB:01          MREQ RD	2	2	fMRead					PC	+	R																								
#007H T7  AB:001 DB:01          MREQ RD	2	3	fMRead		mr							Z	<l	d	<	R																		
#008H T8  AB:002 DB:--	3	1	fMRead				PC			W																								
#009H T9  AB:002 DB:02          MREQ RD	3	2	fMRead					PC	+	R																								
#010H T10 AB:002 DB:02          MREQ RD	3	3	fMRead		mr							W	<h	d	<	R																		
#011H T11 AB:001 DB:--	4	1	fMRead				WZ			W																								
#012H T12 AB:001 DB:01          MREQ RD	4	2	fMRead					WZ	+	R																								
#013H T13 AB:001 DB:01          MREQ RD	4	3	fMRead		1	1																												
#end																																		
																																		
"#if pla[83] : ld a,i/a,r"			5																															
#005H T1  AB:001 DB:--  M1	1	1	fMFetch									A	<				alu	<	res			H	OR		*	*	*	iff2	0					
#006H T2  AB:001 DB:57  M1      MREQ RD	1	2	fMFetch									F	<				<																	
#007H T3  AB:001 DB:--     RFSH	1	3	fMFetch								AF		>				>	>s0		bus	bus				*	*	*	*	*	*				
