

      REG NAME,   REG ADDR,   BIT,                     NAME, R/W, DESCRIPTION, DEFAULT,

      RTC_CTRL, 0x00000000, 31: 5,                     NULL, N/A,            ,       0,
              ,           ,     4,            RTC_SET_RESET, R/W, 0->1       ,       0,
              ,           ,     3,             RTC_SET_TIME, R/W, 0->1       ,       0,
              ,           ,     2,           RTC_SET_PERIOD, R/W, 0->1       ,       0,
              ,           ,     1,              RTC_SET_ADJ, R/W, 0->1 POLL  , DONE=1 ,
              ,           ,     0,             RTC_GET_TIME, R/W, 0->1 POLL  , DONE=1 ,

 RTC_NULL_0x04, 0x00000004, 31: 0,                     NULL, N/A,            ,       0,

 RTC_NULL_0x08, 0x00000008, 31: 0,                     NULL, N/A,            ,       0,

 RTC_NULL_0x0C, 0x0000000C, 31: 0,                     NULL, N/A,            ,       0,

RTC_TIME_SEC_H, 0x00000010, 31:16,                     NULL, N/A,            ,       0,
              ,           , 15: 0,       RTC_TIME_SEC_47_32, R/W, SET GET    ,       0,

RTC_TIME_SEC_L, 0x00000014, 31: 0,       RTC_TIME_SEC_31_00, R/W, SET GET    ,       0,

RTC_TIME_NSC_H, 0x00000018, 31:30,                     NULL, N/A,            ,       0,
              ,           , 29: 0,       RTC_TIME_NSC_29_00, R/W, SET GET    ,       0,

RTC_TIME_NSC_L, 0x0000001C, 31: 8,                     NULL, N/A,            ,       0,
              ,           ,  7: 0,   RTC_TIME_SUB_NSC_07_00, R/W, SET GET    ,       0,

  RTC_PERIOD_H, 0x00000020, 31: 8,                     NULL, N/A,            ,       0,
              ,           ,  7: 0,     RTC_PERIOD_NSC_07_00, R/W, SET        ,       0,

  RTC_PERIOD_L, 0x00000024, 31: 0, RTC_PERIOD_SUB_NSC_31_00, R/W, SET        ,       0,

  RTC_ADJPER_H, 0x00000028, 31: 8,                     NULL, N/A,            ,       0,
              ,           ,  7: 0,     RTC_ADJPER_NSC_07_00, R/W, SET        ,       0,

  RTC_ADJPER_L, 0x0000002C, 31: 0, RTC_ADJPER_SUB_NSC_31_00, R/W, SET        ,       0,

    RTC_ADJNUM, 0x00000030, 31: 0,     RTC_ADJNUM_CNT_31_00, R/W, SET        ,       0,

 RTC_NULL_0x34, 0x00000034, 31: 0,                     NULL, N/A,            ,       0,

 RTC_NULL_0x38, 0x00000038, 31: 0,                     NULL, N/A,            ,       0,

 RTC_NULL_0x3C, 0x0000003C, 31: 0,                     NULL, N/A,            ,       0,



