Port, Packet #, Arrival Time, Inter-Packet Time, Inter-Message Time, messageType, sequenceId, embedded Time
M -> S, 1, 0.000000000, 0.000000000, 0.000000000, 0x0: EVENT:SYNC, 12766, 1312261115.017103700
M -> S, 2, 0.000092983, 0.000092983, 0.000000000, 0x8: GENER:FOLLOW_UP, 12766, 1312261115.017113000
M <- S, 3, 0.072273970, 0.072180986, 0.000000000, 0x2: EVENT:PATH_DELAY_REQ, 6365, 1312261115.088557200
M -> S, 4, 0.072463036, 0.000189066, 0.000000000, 0x3: EVENT:PATH_DELAY_RESP, 6365, 1312261115.089387900
M -> S, 5, 0.072546005, 0.000082970, 0.000000000, 0xA: GENER:PATH_DELAY_RESP_FOLLOW_UP, 6365, 1312261115.089575100
M -> S, 6, 0.994474173, 0.921928167, 0.994474173, 0x0: EVENT:SYNC, 12767, 1312261116.011576400
M -> S, 7, 0.994502068, 0.000027895, 0.000000000, 0xB: GENER:ANNOUNCE, 6383, 0.000000000
M -> S, 8, 0.994517088, 0.000015020, 0.000000000, 0x2: EVENT:PATH_DELAY_REQ, 6383, 1312261116.011628400
M -> S, 9, 0.994598150, 0.000081062, 0.994505167, 0x8: GENER:FOLLOW_UP, 12767, 1312261116.011586000
M <- S, 10, 0.995468140, 0.000869989, 0.000000000, 0x3: EVENT:PATH_DELAY_RESP, 6383, 1312261116.011266900
M <- S, 11, 0.995476961, 0.000008821, 0.000000000, 0xA: GENER:PATH_DELAY_RESP_FOLLOW_UP, 6383, 1312261116.011761000
M -> S, 12, 1.994574070, 0.999097109, 1.000099897, 0x0: EVENT:SYNC, 12768, 1312261117.011674200
M -> S, 13, 1.994670153, 0.000096083, 1.000072002, 0x8: GENER:FOLLOW_UP, 12768, 1312261117.011684900
M <- S, 14, 2.072367191, 0.077697039, 2.000093222, 0x2: EVENT:PATH_DELAY_REQ, 6366, 1312261117.088677200
M -> S, 15, 2.072571039, 0.000203848, 2.000108004, 0x3: EVENT:PATH_DELAY_RESP, 6366, 1312261117.089481100
M -> S, 16, 2.072657108, 0.000086069, 2.000111103, 0xA: GENER:PATH_DELAY_RESP_FOLLOW_UP, 6366, 1312261117.089683100
M -> S, 17, 2.994440079, 0.921782970, 0.999866009, 0x0: EVENT:SYNC, 12769, 1312261118.011538700
M -> S, 18, 2.994469166, 0.000029087, 1.999967098, 0xB: GENER:ANNOUNCE, 6384, 0.000000000
M -> S, 19, 2.994484186, 0.000015020, 1.999967098, 0x2: EVENT:PATH_DELAY_REQ, 6384, 1312261118.011596000
M -> S, 20, 2.994568110, 0.000083923, 0.999897957, 0x8: GENER:FOLLOW_UP, 12769, 1312261118.011550900
M <- S, 21, 2.995419025, 0.000850916, 1.999950886, 0x3: EVENT:PATH_DELAY_RESP, 6384, 1312261118.011220000
M <- S, 22, 2.995429039, 0.000010014, 1.999952078, 0xA: GENER:PATH_DELAY_RESP_FOLLOW_UP, 6384, 1312261118.011748100
M -> S, 23, 3.994435072, 0.999006033, 0.999994993, 0x0: EVENT:SYNC, 12770, 1312261119.011534000
M -> S, 24, 3.994534969, 0.000099897, 0.999966860, 0x8: GENER:FOLLOW_UP, 12770, 1312261119.011547100
M <- S, 25, 4.072710991, 0.078176022, 2.000343800, 0x2: EVENT:PATH_DELAY_REQ, 6367, 1312261119.089056300
M -> S, 26, 4.072919130, 0.000208139, 2.000348091, 0x3: EVENT:PATH_DELAY_RESP, 6367, 1312261119.089824900
M -> S, 27, 4.073004007, 0.000084877, 2.000346899, 0xA: GENER:PATH_DELAY_RESP_FOLLOW_UP, 6367, 1312261119.090030900
M -> S, 28, 4.994443178, 0.921439171, 1.000008106, 0x0: EVENT:SYNC, 12771, 1312261120.011541100
M -> S, 29, 4.994472980, 0.000029802, 2.000003815, 0xB: GENER:ANNOUNCE, 6385, 0.000000000
M -> S, 30, 4.994487047, 0.000014067, 2.000002861, 0x2: EVENT:PATH_DELAY_REQ, 6385, 1312261120.011598300
M -> S, 31, 4.994569063, 0.000082016, 1.000034094, 0x8: GENER:FOLLOW_UP, 12771, 1312261120.011555000
M <- S, 32, 4.995476961, 0.000907898, 2.000057936, 0x3: EVENT:PATH_DELAY_RESP, 6385, 1312261120.011318900
M <- S, 33, 4.995491028, 0.000014067, 2.000061989, 0xA: GENER:PATH_DELAY_RESP_FOLLOW_UP, 6385, 1312261120.011838000
M -> S, 34, 5.994435072, 0.998944044, 0.999991894, 0x0: EVENT:SYNC, 12772, 1312261121.011534000
