Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 19.18     79.83    79.83 458171553     0.00     0.00  x264_pixel_satd_8x4
 15.15    142.89    63.06 89478775     0.00     0.00  x264_pixel_sad_16x16
 12.68    195.64    52.75 270695970     0.00     0.00  x264_pixel_sad_8x8
 11.26    242.50    46.86 181085429     0.00     0.00  get_ref
  6.80    270.78    28.28 138683736     0.00     0.00  mc_chroma
  5.75    294.69    23.91 107763172     0.00     0.00  quant_4x4
  3.42    308.94    14.24 162598642     0.00     0.00  x264_pixel_satd_4x4
  2.92    321.10    12.16 109861660     0.00     0.00  sub4x4_dct
  1.88    328.90     7.81    17228     0.45     0.45  hpel_filter
  1.70    336.00     7.09 18251142     0.00     0.00  x264_pixel_sad_16x8
  1.59    342.62     6.63 18324723     0.00     0.00  x264_pixel_sad_8x16
  1.49    348.83     6.21 16636974     0.00     0.01  refine_subpel
  1.34    354.40     5.57 12775437     0.00     0.00  pixel_hadamard_ac
  1.32    359.88     5.47 16694799     0.00     0.02  x264_me_search_ref
  0.87    363.48     3.60 23386082     0.00     0.00  add4x4_idct
  0.61    366.01     2.54  4476451     0.00     0.01  x264_macroblock_encode
  0.61    368.53     2.52 114525323     0.00     0.00  x264_pixel_satd_8x8
  0.56    370.85     2.32  8185892     0.00     0.00  mc_luma
  0.44    372.69     1.84  4329498     0.00     0.00  sa8d_8x8
  0.44    374.52     1.83  3194658     0.00     0.00  x264_pixel_ssd_16x16
  0.42    376.27     1.75    12990     0.13     0.19  x264_macroblock_tree_propagate
  0.37    377.80     1.53      357     4.29     4.29  frame_init_lowres_core
  0.35    379.26     1.46  7507643     0.00     0.00  pixel_var2_8x8
  0.35    380.71     1.45  1321311     0.00     0.27  x264_macroblock_analyse
  0.34    382.13     1.42  1086788     0.00     0.02  x264_mb_analyse_intra
  0.28    383.31     1.19  4305802     0.00     0.00  x264_mb_encode_8x8_chroma
  0.28    384.48     1.16 22774688     0.00     0.00  x264_pixel_satd_16x16
  0.27    385.60     1.12 19743981     0.00     0.00  x264_mb_predict_mv
  0.26    386.67     1.07    16432     0.07     0.20  x264_frame_deblock_row
  0.25    387.69     1.03  3391992     0.00     0.00  predict_8x8c_p
  0.24    388.68     0.98 17408005     0.00     0.00  x264_pixel_sad_4x4
  0.23    389.64     0.97 16541560     0.00     0.00  x264_decimate_score16
  0.23    390.60     0.95 26084566     0.00     0.00  dequant_4x4
  0.22    391.50     0.91  6934578     0.00     0.00  x264_pixel_ssd_8x8
  0.21    392.38     0.88  3140494     0.00     0.00  x264_macroblock_size_cavlc
  0.20    393.23     0.85  2251204     0.00     0.00  deblock_v_luma_c
  0.20    394.07     0.84  1262399     0.00     0.00  x264_pixel_var_16x16
  0.20    394.92     0.84  1084129     0.00     0.00  predict_16x16_p
  0.19    395.71     0.80 35343093     0.00     0.00  x264_pixel_sad_x4_8x8
  0.19    396.50     0.79 12521661     0.00     0.00  mc_copy
  0.18    397.25     0.75  1291667     0.00     0.06  x264_mb_analyse_inter_p16x16
  0.17    397.96     0.71   590523     0.00     0.00  mbtree_propagate_cost
  0.16    398.64     0.68 11867775     0.00     0.00  x264_coeff_level_run16
  0.16    399.31     0.67 12296614     0.00     0.00  block_residual_write_cavlc
  0.16    399.97     0.66  1350566     0.00     0.00  x264_macroblock_cache_load
  0.15    400.59     0.62  2328328     0.00     0.00  deblock_h_luma_c
  0.14    401.19     0.60 25991649     0.00     0.00  sub8x8_dct
  0.13    401.73     0.54 24404406     0.00     0.00  x264_pixel_sad_x3_8x8
  0.10    402.14     0.42  3437670     0.00     0.00  x264_mb_predict_mv_ref16x16
  0.10    402.56     0.42  1310598     0.00     0.02  x264_slicetype_mb_cost
  0.10    402.98     0.41 27079001     0.00     0.00  zigzag_scan_4x4_frame
  0.10    403.39     0.41  4183702     0.00     0.00  x264_analyse_update_cache
  0.09    403.78     0.39  2775273     0.00     0.00  deblock_v_chroma_c
  0.09    404.15     0.37  3175740     0.00     0.02  x264_rd_cost_mb
  0.09    404.51     0.36  2867890     0.00     0.00  deblock_h_chroma_c
  0.08    404.86     0.35  1028988     0.00     0.00  x264_macroblock_write_cavlc
  0.08    405.20     0.34  1326642     0.00     0.00  x264_macroblock_cache_save
  0.08    405.54     0.33 11659502     0.00     0.00  x264_coeff_last16
  0.08    405.87     0.33                             x264_slices_write
  0.08    406.18     0.32  5094699     0.00     0.00  x264_decimate_score15
  0.07    406.49     0.31  4652682     0.00     0.00  x264_mb_mc_8x8
  0.07    406.78     0.29  2585814     0.00     0.00  x264_pixel_var_8x8
  0.07    407.07     0.29  1182491     0.00     0.00  add8x8_idct_dc
  0.07    407.35     0.28  5915942     0.00     0.00  predict_4x4_ddr
  0.07    407.62     0.28  3945607     0.00     0.00  predict_8x8c_dc
  0.06    407.89     0.27  5921427     0.00     0.00  predict_4x4_vl
  0.06    408.16     0.27  3571975     0.00     0.00  block_residual_write_cavlc
  0.06    408.40     0.24  1542193     0.00     0.00  x264_mb_analyse_intra_chroma
  0.06    408.63     0.23  5935100     0.00     0.00  predict_4x4_ddl
  0.05    408.86     0.23  4079622     0.00     0.00  sub16x16_dct
  0.05    409.08     0.22  8873217     0.00     0.00  quant_2x2_dc
  0.05    409.30     0.22  5897632     0.00     0.00  predict_4x4_vr
  0.05    409.51     0.21  3355803     0.00     0.00  x264_mb_mc_0xywh
  0.05    409.72     0.20 10331409     0.00     0.00  x264_pixel_sad_x4_16x16
  0.05    409.93     0.20  5928935     0.00     0.00  predict_4x4_hd
  0.05    410.13     0.20  3597017     0.00     0.00  predict_8x8c_h
  0.05    410.33     0.20  8630313     0.00     0.00  predict_4x4_dc
  0.05    410.52     0.20  7116667     0.00     0.00  x264_pixel_sad_x3_16x16
  0.04    410.71     0.18  5908430     0.00     0.00  predict_4x4_hu
  0.04    410.89     0.18  4600391     0.00     0.00  x264_mb_predict_mv_16x16
  0.04    411.06     0.17  4475813     0.00     0.00  x264_pixel_satd_8x16
  0.04    411.23     0.17  1308260     0.00     0.00  predict_8x8_filter
  0.04    411.38     0.15  1313766     0.00     0.00  predict_8x8_ddr
  0.04    411.54     0.15  3732858     0.00     0.00  x264_mb_mc
  0.03    411.68     0.14  1316034     0.00     0.00  predict_8x8_vr
  0.03    411.82     0.14  1077946     0.00     0.04  x264_mb_analyse_p_rd
  0.03    411.95     0.14  5499265     0.00     0.00  x264_mb_encode_i4x4
  0.03    412.08     0.13  4423140     0.00     0.00  x264_pixel_satd_16x8
  0.03    412.21     0.13  1129362     0.00     0.00  predict_16x16_dc
  0.03    412.33     0.12  5855975     0.00     0.00  x264_pixel_satd_4x8
  0.03    412.45     0.12  1783208     0.00     0.00  sub4x4_dct_dc
  0.03    412.56     0.11  1316795     0.00     0.00  predict_8x8_ddl
  0.03    412.67     0.11                             quant_8x8
  0.03    412.77     0.10  3184792     0.00     0.00  x264_pixel_hadamard_ac_16x16
  0.02    412.88     0.10  6805888     0.00     0.00  predict_4x4_v
  0.02    412.98     0.10  6531768     0.00     0.00  mc_copy_w8
  0.02    413.07     0.10  3559193     0.00     0.00  predict_8x8c_v
  0.02    413.18     0.10  2500137     0.00     0.00  x264_coeff_level_run15
  0.02    413.27     0.10  1312907     0.00     0.00  predict_8x8_vl
  0.02    413.38     0.10      365     0.27     3.58  x264_adaptive_quant_frame
  0.02    413.47     0.10  2422591     0.00     0.00  x264_pixel_sad_x4_8x16
  0.02    413.56     0.09  6555880     0.00     0.00  predict_4x4_h
  0.02    413.65     0.09  5774625     0.00     0.00  predict_4x4_mode_available
  0.02    413.74     0.09  1315925     0.00     0.00  predict_8x8_hd
  0.02    413.83     0.09  1314963     0.00     0.00  predict_8x8_hu
  0.02    413.92     0.09  1305332     0.00     0.00  x264_ratecontrol_mb
  0.02    414.01     0.09  1159237     0.00     0.00  predict_16x16_h
  0.02    414.10     0.09   290490     0.00     0.01  x264_macroblock_probe_skip
  0.02    414.19     0.09   231300     0.00     0.00  idct4x4dc
  0.02    414.28     0.09   108056     0.00     0.00  add16x16_idct_dc
  0.02    414.37     0.09  6583841     0.00     0.00  cavlc_mb_mvd
  0.02    414.44     0.08  5175449     0.00     0.00  copy_column8
  0.02    414.52     0.07  5349546     0.00     0.00  add8x8_idct
  0.02    414.60     0.07  1636178     0.00     0.00  x264_pixel_sad_x3_8x16
  0.02    414.67     0.07  4353212     0.00     0.00  x264_pixel_sa8d_8x8
  0.02    414.74     0.07  1322442     0.00     0.00  ac_energy_mb
  0.02    414.80     0.07  3960775     0.00     0.00  x264_prefetch_fenc
  0.01    414.86     0.06  2946188     0.00     0.00  mc_copy_w16
  0.01    414.92     0.06  1137086     0.00     0.00  predict_16x16_v
  0.01    414.98     0.06   237321     0.00     0.00  dequant_4x4_dc
  0.01    415.04     0.06  1630927     0.00     0.00  x264_pixel_sad_x3_16x8
  0.01    415.08     0.05    13906     0.00     2.13  x264_slicetype_frame_cost
  0.01    415.13     0.04  1501353     0.00     0.00  x264_coeff_level_run4
  0.01    415.18     0.04  1304651     0.00     0.00  x264_adaptive_quant
  0.01    415.21     0.04   294530     0.00     0.00  dct4x4dc
  0.01    415.25     0.04   294373     0.00     0.00  quant_4x4_dc
  0.01    415.30     0.04   101360     0.00     0.00  plane_expand_border
  0.01    415.33     0.04  1315611     0.00     0.00  x264_ratecontrol_qp
  0.01    415.37     0.04                             x264_coeff_last64
  0.01    415.40     0.04                             zigzag_scan_8x8_field
  0.01    415.43     0.03  2436607     0.00     0.00  x264_coeff_last15
  0.01    415.46     0.03  2400778     0.00     0.00  x264_pixel_sad_x4_16x8
  0.01    415.49     0.03  1452177     0.00     0.00  x264_coeff_last4
  0.01    415.52     0.03      361     0.08     0.08  x264_macroblock_tree_finish
  0.01    415.55     0.03      360     0.08     0.08  x264_slicetype_frame_cost_recalculate
  0.01    415.57     0.03  2408493     0.00     0.00  cavlc_qp_delta
  0.01    415.60     0.03   440964     0.00     0.00  sub8x8_dct_dc
  0.01    415.62     0.03                             x264_me_refine_qpel
  0.00    415.64     0.02  1375995     0.00     0.00  cavlc_mb_mvd
  0.00    415.67     0.02  1281411     0.00     0.00  x264_mb_analyse_load_costs
  0.00    415.69     0.02  1073799     0.00     0.00  x264_mb_analyse_transform_rd
  0.00    415.70     0.02  1067571     0.00     0.01  x264_intra_rd
  0.00    415.73     0.02  1063430     0.00     0.00  predict_8x8chroma_mode_available
  0.00    415.75     0.02   740119     0.00     0.00  bs_write1
  0.00    415.76     0.02   734652     0.00     0.00  cavlc_qp_delta
  0.00    415.79     0.02   232110     0.00     0.00  x264_macroblock_encode_skip
  0.00    415.81     0.02   102454     0.00     0.00  bs_write
  0.00    415.82     0.02    70833     0.00     0.00  predict_8x8c_dc_left
  0.00    415.85     0.02    29518     0.00     0.00  deblock_v_luma_intra_c
  0.00    415.87     0.02    16689     0.00     0.47  x264_frame_filter
  0.00    415.88     0.02      358     0.06     4.33  x264_frame_init_lowres
  0.00    415.90     0.02      355     0.06     0.06  x264_nal_encode
  0.00    415.92     0.01  1263124     0.00     0.00  bs_write_te
  0.00    415.94     0.01                             x264_denoise_dct
  0.00    415.94     0.01  3939261     0.00     0.00  prefetch_fenc_null
  0.00    415.95     0.01  2586223     0.00     0.00  prefetch_ref_null
  0.00    415.96     0.01  1338893     0.00     0.00  x264_mb_predict_mv_pskip
  0.00    415.98     0.01   251275     0.00     0.00  bs_write_ue
  0.00    415.99     0.01    59514     0.00     0.00  deblock_v_chroma_intra_c
  0.00    416.00     0.01    42549     0.00     0.00  predict_4x4_dc_top
  0.00    416.00     0.01    17261     0.00     0.65  x264_fdec_filter_row
  0.00    416.01     0.01    16466     0.00     0.00  x264_frame_cond_broadcast
  0.00    416.02     0.01    16360     0.00     0.00  x264_frame_expand_border_filtered
  0.00    416.04     0.01      349     0.03     0.03  x264_noise_reduction_update
  0.00    416.05     0.01      346     0.03     0.03  x264_ratecontrol_end
  0.00    416.06     0.01                             dequant_8x8
  0.00    416.06     0.01                             predict_row_size_sum
  0.00    416.07     0.01                             x264_macroblock_encode_p8x8
  0.00    416.08     0.01      390     0.01     0.01  x264_thread_sync_ratecontrol
  0.00    416.08     0.01                             cavlc_intra4x4_pred_size
  0.00    416.09     0.01                             row_bits_so_far
  0.00    416.10     0.01                             x264_macroblock_encode_p4x4
  0.00    416.10     0.01                             x264_mb_mc_1xywh
  0.00    416.11     0.01                             x264_pixel_sad_x3_8x4
  0.00    416.11     0.01                             x264_pixel_ssd_8x16
  0.00    416.11     0.00  3950329     0.00     0.00  x264_emms
  0.00    416.11     0.00  1053207     0.00     0.00  predict_16x16_mode_available
  0.00    416.11     0.00   142540     0.00     0.00  add16x16_idct
  0.00    416.11     0.00    64625     0.00     0.00  predict_4x4_dc_left
  0.00    416.11     0.00    60951     0.00     0.00  deblock_h_chroma_intra_c
  0.00    416.11     0.00    52192     0.00     0.00  x264_free
  0.00    416.11     0.00    49198     0.00     0.00  x264_frame_cond_wait
  0.00    416.11     0.00    30803     0.00     0.00  deblock_h_luma_intra_c
  0.00    416.11     0.00    30750     0.00     0.00  predict_16x16_dc_left
  0.00    416.11     0.00    16911     0.00     0.00  x264_frame_expand_border
  0.00    416.11     0.00    15946     0.00     0.00  predict_8x8c_dc_top
  0.00    416.11     0.00    11880     0.00     0.00  x264_mb_cache_fenc_satd
  0.00    416.11     0.00     6859     0.00     0.00  predict_16x16_dc_top
  0.00    416.11     0.00     2189     0.00     0.00  x264_frame_push_unused
  0.00    416.11     0.00     1781     0.00     0.00  x264_frame_push
  0.00    416.11     0.00     1427     0.00     0.00  x264_malloc
  0.00    416.11     0.00     1077     0.00     0.00  plane_copy
  0.00    416.11     0.00     1067     0.00     0.00  x264_frame_shift
  0.00    416.11     0.00     1030     0.00     0.00  x264_thread_sync_stat
  0.00    416.11     0.00      768     0.00     0.00  x264_frame_pop_unused
  0.00    416.11     0.00      733     0.00     0.00  x264_frame_pop
  0.00    416.11     0.00      721     0.00     0.00  get_zone
  0.00    416.11     0.00      710     0.00     0.00  x264_lowres_context_init
  0.00    416.11     0.00      398     0.00    88.13  Encode_frame
  0.00    416.11     0.00      395     0.00    88.75  x264_encoder_encode
  0.00    416.11     0.00      371     0.00     0.00  x264_log
  0.00    416.11     0.00      370     0.00     0.00  predict_size
  0.00    416.11     0.00      363     0.00     0.00  x264_log_default
  0.00    416.11     0.00      361     0.00     0.00  clip_qscale
  0.00    416.11     0.00      361     0.00     0.00  x264_nal_end
  0.00    416.11     0.00      359     0.00     3.22  x264_rc_analyse_slice
  0.00    416.11     0.00      358     0.00     0.00  x264_frame_expand_border_lowres
  0.00    416.11     0.00      358     0.00    86.64  x264_slicetype_decide
  0.00    416.11     0.00      357     0.00     0.00  x264_macroblock_slice_init
  0.00    416.11     0.00      356     0.00     3.25  rate_estimate_qscale
  0.00    416.11     0.00      354     0.00     0.00  read_frame_yuv
  0.00    416.11     0.00      354     0.00     0.00  x264_slice_header_init
  0.00    416.11     0.00      353     0.00     0.00  get_qscale
  0.00    416.11     0.00      353     0.00     0.00  read_frame_thread
  0.00    416.11     0.00      353     0.00     0.00  update_predictor
  0.00    416.11     0.00      353     0.00     0.00  x264_frame_copy_picture
  0.00    416.11     0.00      350     0.00     0.00  set_eop_bsf
  0.00    416.11     0.00      349     0.00     2.13  scenecut
  0.00    416.11     0.00      349     0.00     3.32  x264_ratecontrol_start
  0.00    416.11     0.00      349     0.00    89.91  x264_slicetype_analyse
  0.00    416.11     0.00      345     0.00     0.00  write_nalu_bsf
  0.00    416.11     0.00      345     0.00     0.00  x264_ratecontrol_set_estimated_size
  0.00    416.11     0.00      344     0.00     0.00  x264_nal_start
  0.00    416.11     0.00      318     0.00     0.06  x264_encoder_frame_end
  0.00    416.11     0.00      234     0.00     0.00  predict_8x8c_dc_128
  0.00    416.11     0.00      165     0.00     0.00  predict_4x4_dc_128
  0.00    416.11     0.00      107     0.00     0.00  predict_16x16_dc_128
  0.00    416.11     0.00       49     0.00     0.00  x264_frame_delete
  0.00    416.11     0.00       48     0.00     0.00  x264_frame_new
  0.00    416.11     0.00       32     0.00     0.00  x264_encoder_delayed_frames
  0.00    416.11     0.00       11     0.00     0.00  x264_validate_levels
  0.00    416.11     0.00        3     0.00     0.00  qp2qscale
  0.00    416.11     0.00        3     0.00     0.00  x264_macroblock_cache_end
  0.00    416.11     0.00        3     0.00     0.00  x264_macroblock_cache_init
  0.00    416.11     0.00        2     0.00     0.00  x264_cpu_num_processors
  0.00    416.11     0.00        2     0.00     0.00  x264_mdate
  0.00    416.11     0.00        2     0.00     0.00  x264_picture_alloc
  0.00    416.11     0.00        2     0.00     0.00  x264_picture_clean
  0.00    416.11     0.00        2     0.00     0.00  x264_pps_write
  0.00    416.11     0.00        2     0.00     0.00  x264_print_intra
  0.00    416.11     0.00        2     0.00     0.00  x264_sps_init
  0.00    416.11     0.00        2     0.00     0.00  x264_sps_write
  0.00    416.11     0.00        1     0.00     0.00  close_file_bsf
  0.00    416.11     0.00        1     0.00     0.00  close_file_thread
  0.00    416.11     0.00        1     0.00     0.00  close_file_yuv
  0.00    416.11     0.00        1     0.00     0.00  get_frame_total_thread
  0.00    416.11     0.00        1     0.00     0.00  get_frame_total_yuv
  0.00    416.11     0.00        1     0.00     0.00  mbcmp_init
  0.00    416.11     0.00        1     0.00     0.00  open_file_bsf
  0.00    416.11     0.00        1     0.00     0.00  open_file_thread
  0.00    416.11     0.00        1     0.00     0.00  open_file_yuv
  0.00    416.11     0.00        1     0.00     0.00  parse_zones
  0.00    416.11     0.00        1     0.00     0.00  set_param_bsf
  0.00    416.11     0.00        1     0.00     0.00  x264_atof
  0.00    416.11     0.00        1     0.00     0.00  x264_cpu_detect
