Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 27.50      7.86     7.86  7005742     0.00     0.00  x264_pixel_sad_16x16
 19.19     13.35     5.49 26464742     0.00     0.00  x264_pixel_satd_8x4
  8.52     15.78     2.44 11643684     0.00     0.00  x264_pixel_sad_8x8
  6.33     17.59     1.81  9717286     0.00     0.00  get_ref
  4.11     18.77     1.18  6165565     0.00     0.00  quant_4x4
  3.99     19.91     1.14  4896650     0.00     0.00  mc_chroma
  3.46     20.89     0.99  1822872     0.00     0.00  pixel_hadamard_ac
  3.39     21.86     0.97  6446884     0.00     0.00  sub4x4_dct
  1.61     22.32     0.46   645025     0.00     0.00  sa8d_8x8
  1.36     22.71     0.39   855876     0.00     0.00  x264_me_search_ref
  1.29     23.09     0.37   455718     0.00     0.00  x264_pixel_ssd_16x16
  1.08     23.39     0.31   100696     0.00     0.00  x264_quant_8x8_trellis
  1.05     23.70     0.30   740040     0.00     0.00  pixel_var2_8x8
  0.98     23.98     0.28  2958993     0.00     0.00  x264_pixel_satd_4x4
  0.98     24.25     0.28   892418     0.00     0.00  pixel_avg_8x8
  0.87     24.50     0.25     1404     0.00     0.00  hpel_filter
  0.70     24.70     0.20   179712     0.00     0.00  x264_quant_4x4_trellis
  0.63     24.89     0.18   855876     0.00     0.00  refine_subpel
  0.56     25.05     0.16   135774     0.00     0.00  quant_8x8
  0.54     25.20     0.15   328115     0.00     0.00  x264_pixel_sad_8x16
  0.52     25.35     0.15   236470     0.00     0.00  sub8x8_dct8
  0.52     25.50     0.15   173326     0.00     0.00  pixel_avg_16x16
  0.52     25.65     0.15      300     0.00     0.00  frame_init_lowres_core
  0.49     25.79     0.14   942557     0.00     0.00  x264_pixel_ssd_8x8
  0.49     25.93     0.14   331193     0.00     0.00  x264_pixel_sad_16x8
  0.42     26.05     0.12     2598     0.00     0.00  x264_macroblock_tree_propagate
  0.38     26.16     0.11   665626     0.00     0.00  x264_mb_mc_direct8x8
  0.35     26.26     0.10  1653904     0.00     0.00  x264_pixel_sad_4x4
  0.35     26.36     0.10   118800     0.00     0.00  x264_macroblock_cache_load
  0.35     26.46     0.10   118800     0.00     0.00  x264_pixel_var_16x16
  0.31     26.55     0.09   370868     0.00     0.00  mc_luma
  0.28     26.63     0.08   288083     0.00     0.00  add4x4_idct
  0.26     26.70     0.07  1824701     0.00     0.00  x264_pixel_satd_16x16
  0.26     26.78     0.07   486606     0.00     0.00  x264_macroblock_encode
  0.24     26.85     0.07  1279344     0.00     0.00  mc_copy
  0.24     26.92     0.07   279281     0.00     0.00  x264_macroblock_size_cabac
  0.24     26.99     0.07   206306     0.00     0.00  predict_8x8c_p
  0.21     27.05     0.06  1601447     0.00     0.00  sub8x8_dct
  0.21     27.11     0.06  1290974     0.00     0.00  pixel_avg_4x4
  0.21     27.17     0.06   397283     0.00     0.00  x264_mb_encode_8x8_chroma
  0.17     27.22     0.05   466901     0.00     0.00  x264_mb_mc
  0.17     27.27     0.05   297792     0.00     0.00  x264_slicetype_mb_cost
  0.17     27.32     0.05   237600     0.00     0.00  x264_pixel_var_8x8
  0.17     27.37     0.05   118800     0.00     0.00  x264_macroblock_analyse
  0.17     27.42     0.05    87912     0.00     0.00  x264_mb_predict_mv_direct16x16_spatial
  0.14     27.46     0.04  5538011     0.00     0.00  x264_pixel_satd_8x8
  0.14     27.50     0.04  1569764     0.00     0.00  x264_pixel_sad_x4_8x8
  0.14     27.54     0.04  1384403     0.00     0.00  x264_cabac_encode_decision_c
  0.14     27.58     0.04   310148     0.00     0.00  x264_mb_predict_mv_ref16x16
  0.14     27.62     0.04   176885     0.00     0.00  block_residual_write_cabac
  0.14     27.66     0.04   118800     0.00     0.00  x264_macroblock_cache_save
  0.14     27.70     0.04    17066     0.00     0.00  add8x8_idct_dc
  0.14     27.74     0.04                             memcpy
  0.10     27.77     0.03  1046942     0.00     0.00  x264_pixel_sad_x3_8x8
  0.10     27.80     0.03   676289     0.00     0.00  x264_mb_predict_mv
  0.10     27.83     0.03   626552     0.00     0.00  x264_pixel_sad_x3_16x16
  0.10     27.86     0.03   279281     0.00     0.00  x264_cabac_mb_type
  0.10     27.89     0.03   203829     0.00     0.00  predict_8x8_vl
  0.10     27.92     0.03   202889     0.00     0.00  predict_8x8_hu
  0.10     27.95     0.03    84804     0.00     0.00  x264_mb_analyse_inter_b16x16
  0.10     27.98     0.03      300     0.00     0.07  x264_slice_write
  0.10     28.01     0.03                             log2f
  0.07     28.03     0.02   772992     0.00     0.00  mc_copy_w8
  0.07     28.05     0.02   512756     0.00     0.00  sub4x4_dct_dc
  0.07     28.07     0.02   390232     0.00     0.00  x264_cabac_mb_mvd
  0.07     28.09     0.02   263678     0.00     0.00  dequant_4x4
  0.07     28.11     0.02   237625     0.00     0.00  x264_cabac_mb_ref
  0.07     28.13     0.02   115057     0.00     0.00  x264_mb_analyse_load_costs
  0.07     28.15     0.02    92569     0.00     0.00  x264_mb_analyse_b_rd
  0.07     28.17     0.02    46764     0.00     0.00  mbtree_propagate_cost
  0.07     28.19     0.02    40324     0.00     0.00  x264_quant_dc_trellis
