Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 17.87     59.80    59.80 271611638     0.00     0.00  x264_pixel_satd_8x4
 17.63    118.80    58.99 53098728     0.00     0.00  x264_pixel_sad_16x16
 10.56    154.12    35.32 163650588     0.00     0.00  x264_pixel_sad_8x8
  7.13    177.97    23.85 112073173     0.00     0.00  get_ref
  5.36    195.90    17.93 69996508     0.00     0.00  mc_chroma
  4.24    210.09    14.19 77194449     0.00     0.00  sub4x4_dct
  4.06    223.66    13.57 71794728     0.00     0.00  quant_4x4
  2.91    233.39     9.73  5378208     0.00     0.00  x264_quant_4x4_trellis
  2.70    242.42     9.03 15400592     0.00     0.00  pixel_hadamard_ac
  2.29    250.09     7.67 63746978     0.00     0.00  x264_pixel_satd_4x4
  2.24    257.58     7.49  1425840     0.00     0.00  x264_quant_8x8_trellis
  1.66    263.15     5.57 11814067     0.00     0.00  sa8d_8x8
  1.09    266.81     3.65  8064716     0.00     0.00  x264_pixel_sad_16x8
  1.07    270.39     3.59  4084415     0.00     0.00  sub8x8_dct8
  1.01    273.77     3.38 10449883     0.00     0.00  refine_subpel
  1.00    277.11     3.33  8142439     0.00     0.00  x264_pixel_sad_8x16
  0.99    280.42     3.31 10449883     0.00     0.00  x264_me_search_ref
  0.94    283.57     3.15  3850148     0.00     0.00  x264_pixel_ssd_16x16
  0.65    285.75     2.18 14853558     0.00     0.00  add4x4_idct
  0.63    287.85     2.10  6890034     0.00     0.00  pixel_var2_8x8
  0.62    289.93     2.08  6936773     0.00     0.00  pixel_avg_8x8
  0.59    291.92     1.99  2658575     0.00     0.00  quant_8x8
  0.58    293.86     1.94    12114     0.00     0.00  hpel_filter
  0.54    295.66     1.80  4116656     0.00     0.00  x264_macroblock_encode
  0.49    297.29     1.63  1319261     0.00     0.00  pixel_avg_16x16
  0.44    298.75     1.47 10543295     0.00     0.00  block_residual_write_cabac
  0.42    300.17     1.42  7712421     0.00     0.00  x264_pixel_ssd_8x8
  0.35    301.35     1.18  2912461     0.00     0.00  x264_macroblock_size_cabac
  0.34    302.49     1.15 42558601     0.00     0.00  x264_cabac_encode_decision_c
  0.32    303.57     1.08 64962109     0.00     0.00  x264_pixel_satd_8x8
  0.32    304.63     1.06  3789029     0.00     0.00  x264_mb_encode_8x8_chroma
  0.29    305.61     0.98     2000     0.00     0.00  frame_init_lowres_core
  0.29    306.57     0.96 17103110     0.00     0.00  dequant_4x4
  0.29    307.52     0.95 12635504     0.00     0.00  x264_pixel_sad_4x4
  0.26    308.39     0.87    24881     0.00     0.00  x264_macroblock_tree_propagate
  0.26    309.25     0.86 15077804     0.00     0.00  x264_pixel_satd_16x16
  0.25    310.10     0.84  8175216     0.00     0.00  pixel_avg_4x4
  0.24    310.89     0.80  1253717     0.00     0.00  add8x8_idct8
  0.22    311.64     0.75   792000     0.00     0.00  x264_macroblock_cache_load
  0.22    312.38     0.74   472172     0.00     0.00  x264_mb_analyse_intra
  0.21    313.10     0.71  2908224     0.00     0.00  x264_slicetype_mb_cost
  0.21    313.80     0.70  4221183     0.00     0.00  mc_luma
  0.20    314.45     0.66   792000     0.00     0.00  x264_pixel_var_16x16
  0.19    315.07     0.62 10003755     0.00     0.00  x264_mb_predict_mv
  0.17    315.63     0.56   792000     0.00     0.00  x264_macroblock_analyse
  0.16    316.18     0.54   792000     0.00     0.00  x264_macroblock_cache_save
  0.16    316.70     0.53 10921529     0.00     0.00  mc_copy
  0.16    317.24     0.53  4415714     0.00     0.00  x264_mb_mc_direct8x8
  0.15    317.75     0.52  1908988     0.00     0.00  block_residual_write_cabac
  0.15    318.25     0.50  1542858     0.00     0.00  predict_8x8c_p
  0.13    318.70     0.45  3903953     0.00     0.00  x264_mb_mc
  0.13    319.15     0.45   930175     0.00     0.00  x264_quant_dc_trellis
