Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 18.12      4.89     4.89 22398358     0.00     0.00  x264_pixel_satd_8x4
 17.60      9.65     4.75  4823896     0.00     0.00  x264_pixel_sad_16x16
 10.55     12.50     2.85  9893189     0.00     0.00  get_ref
  8.60     14.82     2.33 12287601     0.00     0.00  x264_pixel_sad_8x8
  4.00     15.90     1.08  4172374     0.00     0.00  mc_chroma
  3.22     16.77     0.87  4633263     0.00     0.00  sub4x4_dct
  3.00     17.59     0.81  4161037     0.00     0.00  quant_4x4
  2.76     18.33     0.74   122304     0.00     0.00  x264_quant_8x8_trellis
  2.28     18.95     0.61   463048     0.00     0.00  x264_quant_4x4_trellis
  2.22     19.55     0.60  1132976     0.00     0.00  pixel_hadamard_ac
  2.20     20.14     0.59  1271957     0.00     0.00  x264_pixel_sad_16x8
  2.18     20.73     0.59  3795189     0.00     0.00  x264_pixel_satd_4x4
  2.09     21.30     0.56  1279401     0.00     0.00  x264_pixel_sad_8x16
  1.41     21.68     0.38   362206     0.00     0.00  sub8x8_dct8
  1.33     22.04     0.36   735028     0.00     0.00  sa8d_8x8
  1.04     22.32     0.28   793300     0.00     0.00  x264_me_search_ref
  0.93     22.57     0.25   793300     0.00     0.00  refine_subpel
  0.85     22.80     0.23     1368     0.00     0.00  hpel_filter
  0.78     23.00     0.21  1384328     0.00     0.00  add4x4_idct
  0.74     23.20     0.20   283244     0.00     0.00  x264_pixel_ssd_16x16
  0.63     23.38     0.17   167069     0.00     0.00  add8x8_idct8
  0.59     23.54     0.16  4896943     0.00     0.00  x264_cabac_encode_decision_c
  0.59     23.70     0.16   203719     0.00     0.00  pixel_avg_16x16
  0.56     23.84     0.15   872772     0.00     0.00  block_residual_write_cabac
  0.56     24.00     0.15   584138     0.00     0.00  pixel_var2_8x8
  0.48     24.12     0.13   569408     0.00     0.00  x264_pixel_ssd_8x8
  0.48     24.25     0.13   313340     0.00     0.00  x264_macroblock_encode
  0.44     24.38     0.12   482194     0.00     0.00  mc_luma
  0.44     24.50     0.12   239902     0.00     0.00  quant_8x8
  0.41     24.61     0.11   478816     0.00     0.00  pixel_avg_8x8
  0.37     24.70     0.10  4944288     0.00     0.00  x264_pixel_satd_8x8
  0.33     24.80     0.09  1225106     0.00     0.00  zigzag_scan_4x4_frame
  0.33     24.89     0.09   725356     0.00     0.00  sub4x4_dct_dc
  0.33     24.98     0.09   235873     0.00     0.00  x264_macroblock_size_cabac
  0.33     25.07     0.09      150     0.00     0.00  frame_init_lowres_core
  0.31     25.15     0.09  1180486     0.00     0.00  x264_pixel_satd_16x16
  0.30     25.23     0.08   302645     0.00     0.00  x264_mb_encode_8x8_chroma
  0.30     25.31     0.08     2471     0.00     0.00  x264_macroblock_tree_propagate
  0.22     25.37     0.06   252031     0.00     0.00  x264_mb_predict_mv_16x16
  0.22     25.43     0.06    59400     0.00     0.00  x264_macroblock_cache_save
  0.19     25.48     0.05  1216644     0.00     0.00  dequant_4x4
  0.19     25.53     0.05   992920     0.00     0.00  x264_mb_predict_mv
  0.19     25.58     0.05   140184     0.00     0.00  predict_8x8c_p
  0.19     25.63     0.05    59400     0.00     0.00  x264_macroblock_analyse
  0.19     25.68     0.05    59400     0.00     0.00  x264_macroblock_cache_load
  0.15     25.72     0.04   154365     0.00     0.00  block_residual_write_cabac
  0.15     25.76     0.04    59400     0.00     0.00  x264_pixel_var_16x16
  0.15     25.80     0.04    44546     0.00     0.00  predict_16x16_p
  0.11     25.83     0.03   927552     0.00     0.00  x264_pixel_sad_4x4
  0.11     25.86     0.03   350764     0.00     0.00  pixel_avg_4x4
  0.11     25.89     0.03   147312     0.00     0.00  x264_slicetype_mb_cost
  0.11     25.92     0.03   146184     0.00     0.00  predict_8x8_ddl
  0.11     25.95     0.03   143726     0.00     0.00  predict_8x8_hd
  0.11     25.98     0.03   143125     0.00     0.00  predict_8x8_vr
  0.11     26.01     0.03    87684     0.00     0.00  block_residual_write_cabac_8x8
  0.11     26.04     0.03    59157     0.00     0.00  x264_mb_analyse_load_costs
  0.11     26.07     0.03    48390     0.00     0.00  x264_macroblock_write_cabac
  0.11     26.10     0.03    44478     0.00     0.00  mbtree_propagate_cost
  0.11     26.13     0.03    28272     0.00     0.00  x264_mb_analyse_inter_p8x8_mixed_ref
  0.11     26.16     0.03     5141     0.00     0.00  x264_me_refine_bidir_satd
  0.09     26.18     0.03   150141     0.00     0.00  x264_cabac_mb_qp_delta
  0.07     26.20     0.02   888875     0.00     0.00  x264_coeff_last16
  0.07     26.23     0.02   656813     0.00     0.00  mc_copy
  0.07     26.25     0.02   551683     0.00     0.00  x264_pixel_sad_x4_16x16
  0.07     26.27     0.02   308055     0.00     0.00  x264_analyse_update_cache
  0.07     26.29     0.02   301507     0.00     0.00  x264_mb_mc
  0.07     26.30     0.02   279028     0.00     0.00  x264_mb_mc_8x8
  0.07     26.32     0.02   205408     0.00     0.00  x264_mb_mc_direct8x8
  0.07     26.34     0.02   167069     0.00     0.00  dequant_8x8
  0.07     26.36     0.02   146401     0.00     0.00  predict_8x8_vl
  0.07     26.39     0.02   146262     0.00     0.00  predict_8x8c_dc
  0.07     26.41     0.02   112646     0.00     0.00  x264_decimate_score64
  0.07     26.43     0.02    49237     0.00     0.00  x264_mb_analyse_intra
  0.07     26.45     0.02    20569     0.00     0.00  x264_mb_analyse_inter_b8x8
  0.07     26.46     0.02     1368     0.00     0.00  x264_frame_deblock_row
  0.07     26.48     0.02                             __chkstk
  0.06     26.50     0.01  1597642     0.00     0.00  x264_pixel_sad_x4_8x8
  0.06     26.52     0.01   253940     0.00     0.00  x264_rd_cost_mb
  0.06     26.53     0.01    48350     0.00     0.00  x264_cabac_mb_cbp_luma
  0.04     26.54     0.01   829373     0.00     0.00  x264_cabac_encode_bypass
  0.04     26.55     0.01   688049     0.00     0.00  x264_decimate_score16
  0.04     26.56     0.01   427072     0.00     0.00  x264_cabac_mb_mvd
  0.04     26.57     0.01   384912     0.00     0.00  mc_copy_w8
  0.04     26.58     0.01   362064     0.00     0.00  quant_2x2_dc
  0.04     26.59     0.01   353010     0.00     0.00  x264_pixel_satd_16x8
  0.04     26.60     0.01   345259     0.00     0.00  x264_pixel_satd_8x16
  0.04     26.61     0.01   327346     0.00     0.00  add8x8_idct
  0.04     26.62     0.01   246121     0.00     0.00  x264_mb_load_mv_direct8x8
  0.04     26.63     0.01   235873     0.00     0.00  x264_cabac_mb_type
