Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 14.66      3.26     3.26  5749409     0.00     0.00  get_ref
 13.98      6.37     3.11 13532824     0.00     0.00  x264_pixel_satd_8x4
 12.28      9.10     2.73  5196047     0.00     0.00  mc_chroma
  5.04     10.22     1.12   284617     0.00     0.00  x264_pixel_sad_x4_16x16
  4.32     11.18     0.96   877627     0.00     0.00  x264_pixel_sad_x4_8x8
  3.33     11.92     0.74  6322232     0.00     0.00  x264_pixel_satd_4x4
  3.28     12.65     0.73   739547     0.00     0.00  x264_pixel_sad_16x16
  3.15     13.35     0.70  3295184     0.00     0.00  quant_4x4
  2.83     13.98     0.63   336166     0.00     0.00  add8x8_idct
  2.79     14.60     0.62   216268     0.00     0.00  x264_pixel_sad_x3_16x16
  2.65     15.19     0.59   647980     0.00     0.00  x264_pixel_sad_x3_8x8
  2.56     15.76     0.57   772844     0.00     0.00  sub8x8_dct
  2.56     16.33     0.57     1350     0.42     0.42  hpel_filter
  1.84     16.74     0.41   433560     0.00     0.00  pixel_hadamard_ac
  1.75     17.13     0.39   471060     0.00     0.03  x264_me_search_ref
  1.48     17.46     0.33   178313     0.00     0.00  x264_pixel_sad_x4_8x16
  1.48     17.79     0.33   173186     0.00     0.00  x264_pixel_sad_x4_16x8
  1.44     18.11     0.32  1426211     0.00     0.00  x264_pixel_sad_8x8
  1.03     18.34     0.23   471060     0.00     0.02  refine_subpel
  1.03     18.57     0.23   117844     0.00     0.00  x264_pixel_sad_x3_16x8
  0.76     18.74     0.17   137825     0.00     0.01  x264_mb_encode_8x8_chroma
  0.76     18.91     0.17   120557     0.00     0.00  x264_pixel_sad_x3_8x16
  0.67     19.06     0.15  1340003     0.00     0.00  dequant_4x4
  0.67     19.21     0.15   259150     0.00     0.00  mc_luma
  0.63     19.35     0.14   296781     0.00     0.00  x264_pixel_sad_16x8
  0.58     19.48     0.13    29700     0.00     0.64  x264_macroblock_analyse
  0.49     19.59     0.11   307467     0.00     0.00  x264_pixel_sad_8x16
  0.49     19.70     0.11   217766     0.00     0.00  x264_pixel_ssd_8x8
  0.49     19.81     0.11   117740     0.00     0.00  sa8d_8x8
  0.49     19.92     0.11   108390     0.00     0.00  x264_pixel_ssd_16x16
  0.40     20.01     0.09  1059477     0.00     0.00  block_residual_write_cavlc
  0.40     20.10     0.09   613533     0.00     0.00  x264_mb_predict_mv
  0.40     20.19     0.09   234666     0.00     0.00  pixel_var2_8x8
  0.36     20.27     0.08  2993060     0.00     0.00  x264_pixel_satd_8x8
  0.36     20.35     0.08     2106     0.04     0.05  x264_macroblock_tree_propagate
  0.31     20.42     0.07   505889     0.00     0.00  x264_pixel_satd_16x16
  0.31     20.49     0.07   260910     0.00     0.00  block_residual_write_cavlc
  0.31     20.56     0.07   108229     0.00     0.00  x264_macroblock_size_cavlc
  0.31     20.63     0.07    74941     0.00     0.00  deblock_v_luma_c
  0.31     20.70     0.07    29700     0.00     0.00  x264_macroblock_cache_load
  0.31     20.77     0.07    29700     0.00     0.00  x264_pixel_var_16x16
  0.31     20.84     0.07    29435     0.00     0.03  x264_mb_analyse_intra
  0.31     20.91     0.07     1350     0.05     0.20  x264_frame_deblock_row
  0.31     20.98     0.07       75     0.93     0.93  frame_init_lowres_core
  0.27     21.04     0.06   443434     0.00     0.00  x264_coeff_level_run15
  0.27     21.10     0.06   138090     0.00     0.02  x264_macroblock_encode
  0.22     21.15     0.05  1348374     0.00     0.00  zigzag_scan_4x4_frame
  0.22     21.20     0.05   712845     0.00     0.00  x264_coeff_level_run16
  0.22     21.25     0.05    46259     0.00     0.00  add8x8_idct_dc
  0.18     21.29     0.04   470960     0.00     0.00  x264_pixel_sad_4x4
  0.18     21.33     0.04   119495     0.00     0.00  add4x4_idct
  0.18     21.37     0.04   108390     0.00     0.03  x264_rd_cost_mb
  0.18     21.41     0.04    77970     0.00     0.00  deblock_h_luma_c
  0.18     21.45     0.04    29304     0.00     0.11  x264_mb_analyse_inter_p16x16
  0.18     21.49     0.04    27556     0.00     0.00  predict_16x16_p
  0.13     21.52     0.03   488337     0.00     0.00  x264_decimate_score16
  0.13     21.55     0.03   379559     0.00     0.00  x264_decimate_score15
  0.13     21.58     0.03   164108     0.00     0.00  x264_coeff_level_run4
  0.13     21.61     0.03    37908     0.00     0.00  mbtree_propagate_cost
