Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 13.76      1.41     1.41  7136026     0.00     0.00  x264_pixel_satd_8x4
 12.39      2.68     1.27  1818157     0.00     0.00  mc_chroma
 10.93      3.80     1.12  2265280     0.00     0.00  get_ref
  8.98      4.72     0.92   192561     0.00     0.00  x264_pixel_sad_x4_16x16
  5.85      5.32     0.60   473903     0.00     0.00  x264_pixel_sad_x4_8x8
  5.17      5.85     0.53     1350     0.39     0.39  hpel_filter
  4.98      6.36     0.51  1872446     0.00     0.00  quant_4x4
  3.12      6.68     0.32   128378     0.00     0.00  x264_pixel_sad_x3_16x16
  2.83      6.97     0.29   318036     0.00     0.00  x264_pixel_sad_x3_8x8
  2.44      7.22     0.25  1739448     0.00     0.00  x264_pixel_satd_4x4
  1.85      7.41     0.19   616875     0.00     0.00  x264_pixel_sad_8x8
  1.85      7.60     0.19   246717     0.00     0.00  x264_pixel_sad_16x16
  1.76      7.78     0.18   245900     0.00     0.02  refine_subpel
  1.66      7.95     0.17   477870     0.00     0.00  sub8x8_dct
  1.17      8.07     0.12   245900     0.00     0.03  x264_me_search_ref
  1.17      8.19     0.12    70202     0.00     0.00  add8x8_idct
  1.17      8.31     0.12    47627     0.00     0.00  x264_pixel_ssd_16x16
  1.17      8.43     0.12    41476     0.00     0.00  x264_pixel_sad_x4_16x8
  1.17      8.55     0.12    41149     0.00     0.00  x264_pixel_sad_x4_8x16
  0.98      8.65     0.10   190508     0.00     0.00  pixel_hadamard_ac
  0.78      8.73     0.08   125772     0.00     0.00  pixel_var2_8x8
  0.78      8.81     0.08       75     1.07     1.07  frame_init_lowres_core
  0.68      8.88     0.07    58522     0.00     0.00  x264_pixel_sad_8x16
  0.68      8.95     0.07    27214     0.00     0.00  x264_pixel_sad_x3_8x16
  0.49      9.00     0.05   280011     0.00     0.00  x264_mb_predict_mv
  0.49      9.05     0.05   148582     0.00     0.00  x264_coeff_level_run16
  0.49      9.10     0.05   148390     0.00     0.00  mc_luma
  0.49      9.15     0.05   124350     0.00     0.00  x264_pixel_ssd_8x8
  0.49      9.20     0.05    71256     0.00     0.00  sa8d_8x8
  0.49      9.25     0.05    65441     0.00     0.01  x264_mb_encode_8x8_chroma
  0.49      9.30     0.05    29700     0.00     0.26  x264_macroblock_analyse
  0.49      9.35     0.05    27462     0.00     0.00  x264_pixel_sad_x3_16x8
  0.49      9.40     0.05     2106     0.02     0.02  x264_macroblock_tree_propagate
  0.39      9.44     0.04  1680416     0.00     0.00  x264_pixel_satd_8x8
  0.39      9.48     0.04   200080     0.00     0.00  block_residual_write_cavlc
  0.39      9.52     0.04   148500     0.00     0.00  mc_copy_w8
  0.39      9.56     0.04    77327     0.00     0.02  x264_macroblock_encode
  0.39      9.60     0.04    29700     0.00     0.00  x264_macroblock_cache_load
  0.39      9.64     0.04    29700     0.00     0.00  x264_pixel_var_16x16
  0.39      9.68     0.04    24180     0.00     0.00  add8x8_idct_dc
  0.39      9.72     0.04    15325     0.00     0.00  x264_macroblock_write_cavlc
  0.39      9.76     0.04     1350     0.03     0.05  x264_frame_deblock_row
  0.29      9.79     0.03   305449     0.00     0.00  dequant_4x4
  0.29      9.82     0.03    58640     0.00     0.00  x264_pixel_sad_16x8
  0.29      9.85     0.03    57729     0.00     0.00  x264_mb_mc_0xywh
  0.20      9.87     0.02    92653     0.00     0.00  x264_decimate_score15
  0.20      9.89     0.02    47627     0.00     0.02  x264_rd_cost_mb
  0.20      9.91     0.02    29700     0.00     0.00  x264_macroblock_cache_save
  0.20      9.93     0.02    29304     0.00     0.08  x264_mb_analyse_inter_p16x16
  0.20      9.95     0.02    17418     0.00     0.05  x264_mb_analyse_p_rd
  0.20      9.97     0.02    16199     0.00     0.00  predict_16x16_p
  0.20      9.99     0.02     8400     0.00     0.00  plane_expand_border
  0.10     10.00     0.01   375810     0.00     0.00  x264_pixel_satd_16x16
  0.10     10.01     0.01   318106     0.00     0.00  zigzag_scan_4x4_frame
  0.10     10.02     0.01   159086     0.00     0.00  quant_2x2_dc
  0.10     10.03     0.01   124983     0.00     0.00  x264_decimate_score16
  0.10     10.04     0.01    89638     0.00     0.00  x264_emms
  0.10     10.05     0.01    64937     0.00     0.00  x264_mb_predict_mv_16x16
  0.10     10.06     0.01    63177     0.00     0.00  x264_mb_predict_mv_ref16x16
  0.10     10.07     0.01    62288     0.00     0.00  predict_8x8c_p
  0.10     10.08     0.01    61698     0.00     0.00  mc_copy_w16
  0.10     10.09     0.01    59400     0.00     0.00  x264_pixel_var_8x8
  0.10     10.10     0.01    46449     0.00     0.00  predict_4x4_h
  0.10     10.11     0.01    45107     0.00     0.00  x264_macroblock_size_cavlc
  0.10     10.12     0.01    37313     0.00     0.00  predict_4x4_hd
  0.10     10.13     0.01    29700     0.00     0.00  predict_8x8_ddr
  0.10     10.14     0.01    29700     0.00     0.00  x264_adaptive_quant
  0.10     10.15     0.01    29700     0.00     0.03  x264_slicetype_mb_cost
  0.10     10.16     0.01    29455     0.00     0.00  x264_mb_analyse_load_costs
  0.10     10.17     0.01    24634     0.00     0.00  deblock_h_luma_c
  0.10     10.18     0.01    24011     0.00     0.00  deblock_v_luma_c
  0.10     10.19     0.01    19565     0.00     0.00  add4x4_idct
  0.10     10.20     0.01    17814     0.00     0.01  x264_mb_analyse_intra
  0.10     10.21     0.01     2576     0.00     0.00  sub8x8_dct_dc
  0.10     10.22     0.01      988     0.01     0.01  deblock_v_chroma_intra_c
  0.10     10.23     0.01       75     0.13     0.73  rate_estimate_qscale
  0.10     10.24     0.01       75     0.13     0.13  x264_encoder_frame_end
  0.10     10.25     0.01       75     0.13   121.10  x264_slice_write
  0.00     10.25     0.00   285024     0.00     0.00  x264_pixel_sad_4x4
  0.00     10.25     0.00   118800     0.00     0.00  copy_column8
  0.00     10.25     0.00   112191     0.00     0.00  x264_pixel_satd_4x8
  0.00     10.25     0.00    89100     0.00     0.00  prefetch_fenc_null
  0.00     10.25     0.00    82151     0.00     0.00  x264_pixel_satd_16x8
  0.00     10.25     0.00    81209     0.00     0.00  x264_pixel_satd_8x16
  0.00     10.25     0.00    73872     0.00     0.00  x264_mb_mc_8x8
  0.00     10.25     0.00    71256     0.00     0.00  x264_pixel_sa8d_8x8
  0.00     10.25     0.00    69380     0.00     0.00  x264_coeff_level_run15
  0.00     10.25     0.00    66341     0.00     0.00  x264_analyse_update_cache
  0.00     10.25     0.00    65242     0.00     0.00  predict_8x8c_h
  0.00     10.25     0.00    64530     0.00     0.00  predict_8x8c_v
  0.00     10.25     0.00    64055     0.00     0.00  sub16x16_dct
  0.00     10.25     0.00    62942     0.00     0.00  predict_8x8c_dc
  0.00     10.25     0.00    62941     0.00     0.00  x264_mb_mc
  0.00     10.25     0.00    60417     0.00     0.00  block_residual_write_cavlc
  0.00     10.25     0.00    58608     0.00     0.00  prefetch_ref_null
  0.00     10.25     0.00    47798     0.00     0.00  x264_free
  0.00     10.25     0.00    47627     0.00     0.00  x264_pixel_hadamard_ac_16x16
  0.00     10.25     0.00    43858     0.00     0.00  predict_4x4_dc
  0.00     10.25     0.00    42535     0.00     0.00  x264_coeff_level_run4
  0.00     10.25     0.00    39782     0.00     0.00  predict_4x4_v
  0.00     10.25     0.00    38512     0.00     0.00  predict_4x4_hu
