Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 14.09      2.31     2.31 10711433     0.00     0.00  x264_pixel_satd_8x4
 11.28      4.16     1.85  3471951     0.00     0.00  get_ref
 10.24      5.84     1.68  2674972     0.00     0.00  mc_chroma
  8.54      7.24     1.40   302555     0.00     0.00  x264_pixel_sad_x4_16x16
  4.70      8.01     0.77   657693     0.00     0.00  x264_pixel_sad_x4_8x8
  4.33      8.72     0.71   200736     0.00     0.00  x264_pixel_sad_x3_16x16
  4.09      9.39     0.67     2016     0.33     0.33  hpel_filter
  3.84     10.02     0.63   772025     0.00     0.00  sub8x8_dct
  3.29     10.56     0.54   423383     0.00     0.00  x264_pixel_sad_16x16
  3.05     11.06     0.50  3020451     0.00     0.00  quant_4x4
  2.07     11.40     0.34   440489     0.00     0.00  x264_pixel_sad_x3_8x8
  2.01     11.73     0.33  2439169     0.00     0.00  x264_pixel_satd_4x4
  1.65     12.00     0.27   330952     0.00     0.00  pixel_hadamard_ac
  1.65     12.27     0.27   185783     0.00     0.00  add8x8_idct
  1.46     12.51     0.24    88207     0.00     0.00  x264_pixel_sad_x4_16x8
  1.28     12.72     0.21   872095     0.00     0.00  x264_pixel_sad_8x8
  1.28     12.93     0.21   371476     0.00     0.02  refine_subpel
  1.28     13.14     0.21   371476     0.00     0.03  x264_me_search_ref
  1.28     13.35     0.21    88924     0.00     0.00  x264_pixel_sad_x4_8x16
  1.22     13.55     0.20      112     1.79     1.79  frame_init_lowres_core
  1.04     13.72     0.17   742656     0.00     0.00  dequant_4x4
  0.85     13.86     0.14   127090     0.00     0.02  x264_macroblock_encode
  0.73     13.98     0.12    82738     0.00     0.00  x264_pixel_ssd_16x16
  0.73     14.10     0.12    63882     0.00     0.00  mbtree_propagate_cost
  0.73     14.22     0.12    44352     0.00     0.28  x264_macroblock_analyse
  0.67     14.33     0.11   251324     0.00     0.00  mc_luma
  0.67     14.44     0.11    58795     0.00     0.00  x264_pixel_sad_x3_8x16
  0.61     14.54     0.10   113396     0.00     0.00  sa8d_8x8
  0.55     14.63     0.09   216226     0.00     0.00  pixel_var2_8x8
  0.55     14.72     0.09   202691     0.00     0.00  x264_pixel_ssd_8x8
  0.43     14.79     0.07   129843     0.00     0.00  x264_pixel_sad_8x16
