Release 8.2.02i - par I.33
Copyright (c) 1995-2006 Xilinx, Inc.  All rights reserved.

Sat Nov 18 17:16:07 2006


INFO: The IO information is provided in three file formats as part of the Place and Route (PAR) process.  These formats are:
1. The <design name>_pad.txt file (this file) designed to provide information on IO usage in a human readable ASCII text format viewable through common text editors.
2. The <design namd>_pad.csv file for use with spreadsheet programs such as MS Excel. This file can also be read by PACE to communicate post PAR IO information.
3. The <design name>.pad file designed for parsing by customers.  It uses the "|" as a data field separator.

INPUT FILE:       testbench_map.ncd
OUTPUT FILE:      testbench_pad.txt
PART TYPE:        xc3s1000
SPEED GRADE:      -4
PACKAGE:          ft256

Pinout by Pin Number:

+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|Pin Number|Signal Name|Pin Usage|Pin Name           |Direction|IO Standard|IO Bank Number|Drive (mA)|Slew Rate|Termination|IOB Delay|Voltage  |Constraint|DCI Value|IO Register|Signal Integrity|
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|A1        |           |         |GND                |         |           |              |          |         |           |         |         |          |         |           |                |
|A2        |           |         |TDI                |         |           |              |          |         |           |         |         |          |         |           |                |
|A3        |           |IOB      |IO/VREF_0          |UNUSED   |           |0             |          |         |           |         |         |          |         |           |                |
|A4        |           |DIFFM    |IO_L01P_0/VRN_0    |UNUSED   |           |0             |          |         |           |         |         |          |         |           |                |
|A5        |g<1>       |IOB      |IO                 |OUTPUT   |LVCMOS25   |0             |12        |SLOW     |NONE**     |         |         |LOCATED   |         |NO         |NONE            |
|A6        |           |         |VCCAUX             |         |           |              |          |         |           |         |2.5      |          |         |           |                |
|A7        |           |IOB      |IO                 |UNUSED   |           |0             |          |         |           |         |         |          |         |           |                |
|A8        |g<0>       |IOB      |IO_L32P_0/GCLK6    |OUTPUT   |LVCMOS25   |0             |12        |SLOW     |NONE**     |         |         |LOCATED   |         |NO         |NONE            |
|A9        |           |IOB      |IO                 |UNUSED   |           |1             |          |         |           |         |         |          |         |           |                |
|A10       |           |DIFFS    |IO_L31N_1/VREF_1   |UNUSED   |           |1             |          |         |           |         |         |          |         |           |                |
|A11       |           |         |VCCAUX             |         |           |              |          |         |           |         |2.5      |          |         |           |                |
|A12       |           |IOB      |IO                 |UNUSED   |           |1             |          |         |           |         |         |          |         |           |                |
