FDCB d 00   RLC (IY+d),B*
FDCB d 01   RLC (IY+d),C*
FDCB d 02   RLC (IY+d),D*
FDCB d 03   RLC (IY+d),E*
FDCB d 04   RLC (IY+d),H*
FDCB d 05   RLC (IY+d),L*
FDCB d 06   RLC (IY+d)
FDCB d 07   RLC (IY+d),A*
FDCB d 08   RRC (IY+d),B*
FDCB d 09   RRC (IY+d),C*
FDCB d 0A   RRC (IY+d),D*
FDCB d 0B   RRC (IY+d),E*
FDCB d 0C   RRC (IY+d),H*
FDCB d 0D   RRC (IY+d),L*
FDCB d 0E   RRC (IY+d)
FDCB d 0F   RRC (IY+d),A*
FDCB d 10   RL (IY+d),B*
FDCB d 11   RL (IY+d),C*
FDCB d 12   RL (IY+d),D*
FDCB d 13   RL (IY+d),E*
FDCB d 14   RL (IY+d),H*
FDCB d 15   RL (IY+d),L*
FDCB d 16   RL (IY+d)
FDCB d 17   RL (IY+d),A*
FDCB d 18   RR (IY+d),B*
FDCB d 19   RR (IY+d),C*
FDCB d 1A   RR (IY+d),D*
FDCB d 1B   RR (IY+d),E*
FDCB d 1C   RR (IY+d),H*
FDCB d 1D   RR (IY+d),L*
FDCB d 1E   RR (IY+d)
FDCB d 1F   RR (IY+d),A*
FDCB d 20   SLA (IY+d),B*
FDCB d 21   SLA (IY+d),C*
FDCB d 22   SLA (IY+d),D*
FDCB d 23   SLA (IY+d),E*
FDCB d 24   SLA (IY+d),H*
FDCB d 25   SLA (IY+d),L*
FDCB d 26   SLA (IY+d)
FDCB d 27   SLA (IY+d),A*
FDCB d 28   SRA (IY+d),B*
FDCB d 29   SRA (IY+d),C*
FDCB d 2A   SRA (IY+d),D*
FDCB d 2B   SRA (IY+d),E*
FDCB d 2C   SRA (IY+d),H*
FDCB d 2D   SRA (IY+d),L*
FDCB d 2E   SRA (IY+d)
FDCB d 2F   SRA (IY+d),A*
FDCB d 30   SLL (IY+d),B*
FDCB d 31   SLL (IY+d),C*
FDCB d 32   SLL (IY+d),D*
FDCB d 33   SLL (IY+d),E*
FDCB d 34   SLL (IY+d),H*
FDCB d 35   SLL (IY+d),L*
FDCB d 36   SLL (IY+d)*
FDCB d 37   SLL (IY+d),A*
FDCB d 38   SRL (IY+d),B*
FDCB d 39   SRL (IY+d),C*
FDCB d 3A   SRL (IY+d),D*
FDCB d 3B   SRL (IY+d),E*
FDCB d 3C   SRL (IY+d),H*
FDCB d 3D   SRL (IY+d),L*
FDCB d 3E   SRL (IY+d)
FDCB d 3F   SRL (IY+d),A*
FDCB d 40   BIT 0,(IY+d)*
FDCB d 41   BIT 0,(IY+d)*
FDCB d 42   BIT 0,(IY+d)*
FDCB d 43   BIT 0,(IY+d)*
FDCB d 44   BIT 0,(IY+d)*
FDCB d 45   BIT 0,(IY+d)*
FDCB d 46   BIT 0,(IY+d)
FDCB d 47   BIT 0,(IY+d)*
FDCB d 48   BIT 1,(IY+d)*
FDCB d 49   BIT 1,(IY+d)*
FDCB d 4A   BIT 1,(IY+d)*
FDCB d 4B   BIT 1,(IY+d)*
FDCB d 4C   BIT 1,(IY+d)*
FDCB d 4D   BIT 1,(IY+d)*
FDCB d 4E   BIT 1,(IY+d)
FDCB d 4F   BIT 1,(IY+d)*
FDCB d 50   BIT 2,(IY+d)*
FDCB d 51   BIT 2,(IY+d)*
FDCB d 52   BIT 2,(IY+d)*
FDCB d 53   BIT 2,(IY+d)*
FDCB d 54   BIT 2,(IY+d)*
FDCB d 55   BIT 2,(IY+d)*
FDCB d 56   BIT 2,(IY+d)
FDCB d 57   BIT 2,(IY+d)*
