SINE, COSINE
0.000000 : cos=0.999939 (1.000000), sin=0.000122 (0.000000)
0.031416 : cos=0.999390 (0.999507), sin=0.031494 (0.031411)
0.062832 : cos=0.998047 (0.998027), sin=0.062988 (0.062791)
0.094248 : cos=0.995422 (0.995562), sin=0.094116 (0.094108)
0.125664 : cos=0.992126 (0.992115), sin=0.125488 (0.125333)
0.157080 : cos=0.987732 (0.987688), sin=0.156433 (0.156434)
0.188496 : cos=0.982300 (0.982287), sin=0.187561 (0.187381)
0.219911 : cos=0.975830 (0.975917), sin=0.218140 (0.218143)
0.251327 : cos=0.968628 (0.968583), sin=0.248901 (0.248690)
0.282743 : cos=0.960205 (0.960294), sin=0.279053 (0.278991)
0.314159 : cos=0.950867 (0.951057), sin=0.309265 (0.309017)
0.345575 : cos=0.940857 (0.940881), sin=0.338684 (0.338738)
0.376991 : cos=0.929688 (0.929776), sin=0.368225 (0.368125)
0.408407 : cos=0.917725 (0.917755), sin=0.397278 (0.397148)
0.439823 : cos=0.904846 (0.904827), sin=0.425903 (0.425779)
0.471239 : cos=0.891052 (0.891007), sin=0.454102 (0.453990)
0.502655 : cos=0.876099 (0.876307), sin=0.481995 (0.481754)
0.534071 : cos=0.860718 (0.860742), sin=0.509094 (0.509041)
0.565487 : cos=0.844238 (0.844328), sin=0.536133 (0.535827)
0.596903 : cos=0.826904 (0.827081), sin=0.562256 (0.562083)
0.628319 : cos=0.809021 (0.809017), sin=0.587708 (0.587785)
0.659734 : cos=0.790344 (0.790155), sin=0.612671 (0.612907)
0.691150 : cos=0.770447 (0.770513), sin=0.637512 (0.637424)
0.722566 : cos=0.750122 (0.750111), sin=0.661499 (0.661312)
0.753982 : cos=0.728882 (0.728969), sin=0.684631 (0.684547)
0.785398 : cos=0.707153 (0.707107), sin=0.707092 (0.707107)
0.816814 : cos=0.684509 (0.684547), sin=0.729004 (0.728969)
0.848230 : cos=0.661499 (0.661312), sin=0.750122 (0.750111)
0.879646 : cos=0.637512 (0.637424), sin=0.770447 (0.770513)
0.911062 : cos=0.612671 (0.612907), sin=0.790344 (0.790155)
0.942478 : cos=0.587708 (0.587785), sin=0.809021 (0.809017)
0.973894 : cos=0.562134 (0.562083), sin=0.827026 (0.827081)
1.005310 : cos=0.535889 (0.535827), sin=0.844360 (0.844328)
1.036726 : cos=0.509094 (0.509041), sin=0.860718 (0.860742)
1.068142 : cos=0.481628 (0.481754), sin=0.876465 (0.876307)
1.099557 : cos=0.453979 (0.453990), sin=0.891052 (0.891007)
1.130973 : cos=0.425903 (0.425779), sin=0.904846 (0.904827)
