Release 7.1i - par H.38
Copyright (c) 1995-2005 Xilinx, Inc.  All rights reserved.

#WED 13 APR 22:28:25 2005
#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       s3_vsmpl_map.ncd
#OUTPUT FILE:      s3_vsmpl_pad.csv
#PART TYPE:        xc3s200
#SPEED GRADE:      -4
#PACKAGE:          ft256
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,DCI Value,IO Register,Signal Integrity,
A1,,,GND,,,,,,,,,,,,,
A2,,,TDI,,,,,,,,,,,,,
A3,,IOB,IO/VREF_0,UNUSED,,0,,,,,,,,,,
A4,,DIFFM,IO_L01P_0/VRN_0,UNUSED,,0,,,,,,,,,,
A5,,IOB,IO,UNUSED,,0,,,,,,,,,,
A6,,,VCCAUX,,,,,,,,2.5,,,,,
A7,,IOB,IO,UNUSED,,0,,,,,,,,,,
A8,,DIFFM,IO_L32P_0/GCLK6,UNUSED,,0,,,,,,,,,,
A9,,IOB,IO,UNUSED,,1,,,,,,,,,,
A10,,DIFFS,IO_L31N_1/VREF_1,UNUSED,,1,,,,,,,,,,
A11,,,VCCAUX,,,,,,,,2.5,,,,,
A12,,IOB,IO,UNUSED,,1,,,,,,,,,,
A13,,DIFFS,IO_L10N_1/VREF_1,UNUSED,,1,,,,,,,,,,
A14,cclk,IOB,IO_L01N_1/VRP_1,OUTPUT,LVCMOS25,1,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
A15,,,TDO,,,,,,,,,,,,,
A16,,,GND,,,,,,,,,,,,,
B1,ram_a_data<7>,IOB,IO_L01P_7/VRN_7,OUTPUT,LVCMOS25,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
B2,,,GND,,,,,,,,,,,,,
B3,,,PROG_B,,,,,,,,,,,,,
B4,,DIFFS,IO_L01N_0/VRP_0,UNUSED,,0,,,,,,,,,,
B5,,DIFFM,IO_L25P_0,UNUSED,,0,,,,,,,,,,
B6,,DIFFM,IO_L28P_0,UNUSED,,0,,,,,,,,,,
B7,,DIFFM,IO_L30P_0,UNUSED,,0,,,,,,,,,,
B8,,DIFFS,IO_L32N_0/GCLK7,UNUSED,,0,,,,,,,,,,
B9,,,GND,,,,,,,,,,,,,
B10,,DIFFM,IO_L31P_1,UNUSED,,1,,,,,,,,,,
B11,,DIFFS,IO_L29N_1,UNUSED,,1,,,,,,,,,,
B12,,DIFFS,IO_L27N_1,UNUSED,,1,,,,,,,,,,
B13,,DIFFM,IO_L10P_1,UNUSED,,1,,,,,,,,,,
B14,,DIFFM,IO_L01P_1/VRN_1,UNUSED,,1,,,,,,,,,,
B15,,,GND,,,,,,,,,,,,,
B16,,DIFFS,IO_L01N_2/VRP_2,UNUSED,,2,,,,,,,,,,
C1,ram_a_data<6>,IOB,IO_L01N_7/VRP_7,OUTPUT,LVCMOS25,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
C2,ram_a_data<5>,IOB,IO_L16N_7,OUTPUT,LVCMOS25,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
C3,ram_b_data<12>,IOB,IO_L16P_7/VREF_7,OUTPUT,LVCMOS25,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
C4,,,HSWAP_EN,,,,,,,,,,,,,
C5,,DIFFS,IO_L25N_0,UNUSED,,0,,,,,,,,,,
C6,,DIFFS,IO_L28N_0,UNUSED,,0,,,,,,,,,,
C7,,DIFFS,IO_L30N_0,UNUSED,,0,,,,,,,,,,
C8,,DIFFM,IO_L31P_0/VREF_0,UNUSED,,0,,,,,,,,,,
C9,,DIFFS,IO_L32N_1/GCLK5,UNUSED,,1,,,,,,,,,,
C10,,IOB,IO,UNUSED,,1,,,,,,,,,,
C11,,DIFFM,IO_L29P_1,UNUSED,,1,,,,,,,,,,
C12,,DIFFM,IO_L27P_1,UNUSED,,1,,,,,,,,,,
C13,,,TMS,,,,,,,,,,,,,
C14,,,TCK,,,,,,,,,,,,,
C15,,DIFFS,IO_L16N_2,UNUSED,,2,,,,,,,,,,
C16,,DIFFM,IO_L01P_2/VRN_2,UNUSED,,2,,,,,,,,,,
D1,ram_b_data<7>,IOB,IO_L17N_7,OUTPUT,LVCMOS25,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
D2,ram_b_data<8>,IOB,IO_L17P_7,OUTPUT,LVCMOS25,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
D3,ram_a_data<8>,IOB,IO_L19P_7,OUTPUT,LVCMOS25,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
D4,,,VCCINT,,,,,,,,1.2,,,,,
D5,,IOB,IO/VREF_0,UNUSED,,0,,,,,,,,,,
D6,,DIFFM,IO_L27P_0,UNUSED,,0,,,,,,,,,,
D7,,DIFFM,IO_L29P_0,UNUSED,,0,,,,,,,,,,
D8,,DIFFS,IO_L31N_0,UNUSED,,0,,,,,,,,,,
D9,,DIFFM,IO_L32P_1/GCLK4,UNUSED,,1,,,,,,,,,,
D10,,DIFFS,IO_L30N_1,UNUSED,,1,,,,,,,,,,
D11,,DIFFS,IO_L28N_1,UNUSED,,1,,,,,,,,,,
D12,,IOB,IO/VREF_1,UNUSED,,1,,,,,,,,,,
D13,,,VCCINT,,,,,,,,1.2,,,,,
D14,led7com<0>,IOB,IO_L16P_2,OUTPUT,LVCMOS25,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
D15,,DIFFS,IO_L17N_2,UNUSED,,2,,,,,,,,,,
D16,,DIFFM,IO_L17P_2/VREF_2,UNUSED,,2,,,,,,,,,,
E1,ram_b_data<6>,IOB,IO_L20N_7,OUTPUT,LVCMOS25,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
E2,ram_b_data<9>,IOB,IO_L20P_7,OUTPUT,LVCMOS25,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
E3,ram_addr<8>,IOB,IO_L19N_7/VREF_7,OUTPUT,LVCMOS25,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
E4,ram_addr<9>,IOB,IO_L21P_7,OUTPUT,LVCMOS25,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
E5,,,VCCINT,,,,,,,,1.2,,,,,
E6,,DIFFS,IO_L27N_0,UNUSED,,0,,,,,,,,,,
E7,,DIFFS,IO_L29N_0,UNUSED,,0,,,,,,,,,,
E8,,,VCCO_0,,,0,,,,,any******,,,,,
E9,,,VCCO_1,,,1,,,,,2.50,,,,,
E10,,DIFFM,IO_L30P_1,UNUSED,,1,,,,,,,,,,
E11,,DIFFM,IO_L28P_1,UNUSED,,1,,,,,,,,,,
E12,,,VCCINT,,,,,,,,1.2,,,,,
E13,led7com<3>,IOB,IO_L19N_2,OUTPUT,LVCMOS25,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
E14,led7seg<0>,IOB,IO_L19P_2,OUTPUT,LVCMOS25,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
E15,,DIFFS,IO_L20N_2,UNUSED,,2,,,,,,,,,,
E16,,DIFFM,IO_L20P_2,UNUSED,,2,,,,,,,,,,
F1,,,VCCAUX,,,,,,,,2.5,,,,,
F2,ram_a_data<10>,IOB,IO_L22N_7,OUTPUT,LVCMOS25,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
F3,ram_addr<6>,IOB,IO_L22P_7,OUTPUT,LVCMOS25,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
F4,ram_addr<7>,IOB,IO_L21N_7,OUTPUT,LVCMOS25,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
F5,ram_b_data<11>,IOB,IO_L23P_7,OUTPUT,LVCMOS25,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
F6,,,GND,,,,,,,,,,,,,
F7,,,VCCO_0,,,0,,,,,any******,,,,,
F8,,,VCCO_0,,,0,,,,,any******,,,,,
F9,,,VCCO_1,,,1,,,,,2.50,,,,,
F10,,,VCCO_1,,,1,,,,,2.50,,,,,
F11,,,GND,,,,,,,,,,,,,
F12,switch<0>,IOB,IO_L21N_2,INPUT,LVCMOS25,2,,,,NONE,,LOCATED,,NO,NONE,
F13,led7seg<5>,IOB,IO_L21P_2,OUTPUT,LVCMOS25,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
F14,led7com<2>,IOB,IO_L22N_2,OUTPUT,LVCMOS25,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
F15,,DIFFM,IO_L22P_2,UNUSED,,2,,,,,,,,,,
F16,,,VCCAUX,,,,,,,,2.5,,,,,
G1,ram_b_data<10>,IOB,IO_L40P_7,OUTPUT,LVCMOS25,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
G2,ram_b_data<5>,IOB,IO,OUTPUT,LVCMOS25,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
G3,ram_we,IOB,IO_L24N_7,OUTPUT,LVCMOS25,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
G4,ram_addr<5>,IOB,IO_L24P_7,OUTPUT,LVCMOS25,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
G5,ram_addr<10>,IOB,IO_L23N_7,OUTPUT,LVCMOS25,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
G6,,,VCCO_7,,,7,,,,,2.50,,,,,
G7,,,GND,,,,,,,,,,,,,
G8,,,GND,,,,,,,,,,,,,
G9,,,GND,,,,,,,,,,,,,
G10,,,GND,,,,,,,,,,,,,
G11,,,VCCO_2,,,2,,,,,2.50,,,,,
G12,switch<1>,IOB,IO_L23N_2/VREF_2,INPUT,LVCMOS25,2,,,,NONE,,LOCATED,,NO,NONE,
G13,led7seg<1>,IOB,IO_L23P_2,OUTPUT,LVCMOS25,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
G14,led7com<1>,IOB,IO_L24N_2,OUTPUT,LVCMOS25,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
G15,,DIFFM,IO_L24P_2,UNUSED,,2,,,,,,,,,,
G16,,DIFFM,IO,UNUSED,,2,,,,,,,,,,
H1,ram_a_data<11>,IOB,IO_L40N_7/VREF_7,OUTPUT,LVCMOS25,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
H2,,,GND,,,,,,,,,,,,,
H3,ram_addr<11>,IOB,IO_L39N_7,OUTPUT,LVCMOS25,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
H4,ram_addr<12>,IOB,IO_L39P_7,OUTPUT,LVCMOS25,7,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
H5,,,VCCO_7,,,7,,,,,2.50,,,,,
H6,,,VCCO_7,,,7,,,,,2.50,,,,,
H7,,,GND,,,,,,,,,,,,,
H8,,,GND,,,,,,,,,,,,,
H9,,,GND,,,,,,,,,,,,,
H10,,,GND,,,,,,,,,,,,,
H11,,,VCCO_2,,,2,,,,,2.50,,,,,
H12,,,VCCO_2,,,2,,,,,2.50,,,,,
H13,switch<3>,IOB,IO_L39N_2,INPUT,LVCMOS25,2,,,,NONE,,LOCATED,,NO,NONE,
H14,switch<2>,IOB,IO_L39P_2,INPUT,LVCMOS25,2,,,,NONE,,LOCATED,,NO,NONE,
H15,,DIFFS,IO_L40N_2,UNUSED,,2,,,,,,,,,,
