00 -> 00  Flags = 42
01 -> FF  Flags = BB
02 -> FE  Flags = BB
03 -> FD  Flags = BB
04 -> FC  Flags = BB
05 -> FB  Flags = BB
06 -> FA  Flags = BB
07 -> F9  Flags = BB
08 -> F8  Flags = BB
09 -> F7  Flags = B3
0A -> F6  Flags = B3
0B -> F5  Flags = B3
0C -> F4  Flags = B3
0D -> F3  Flags = B3
0E -> F2  Flags = B3
0F -> F1  Flags = B3
10 -> F0  Flags = A3
11 -> EF  Flags = BB
12 -> EE  Flags = BB
13 -> ED  Flags = BB
14 -> EC  Flags = BB
15 -> EB  Flags = BB
16 -> EA  Flags = BB
17 -> E9  Flags = BB
18 -> E8  Flags = BB
19 -> E7  Flags = B3
1A -> E6  Flags = B3
1B -> E5  Flags = B3
1C -> E4  Flags = B3
1D -> E3  Flags = B3
1E -> E2  Flags = B3
1F -> E1  Flags = B3
20 -> E0  Flags = A3
21 -> DF  Flags = 9B
22 -> DE  Flags = 9B
23 -> DD  Flags = 9B
24 -> DC  Flags = 9B
25 -> DB  Flags = 9B
26 -> DA  Flags = 9B
27 -> D9  Flags = 9B
28 -> D8  Flags = 9B
29 -> D7  Flags = 93
2A -> D6  Flags = 93
2B -> D5  Flags = 93
2C -> D4  Flags = 93
2D -> D3  Flags = 93
2E -> D2  Flags = 93
2F -> D1  Flags = 93
30 -> D0  Flags = 83
31 -> CF  Flags = 9B
32 -> CE  Flags = 9B
33 -> CD  Flags = 9B
34 -> CC  Flags = 9B
35 -> CB  Flags = 9B
36 -> CA  Flags = 9B
37 -> C9  Flags = 9B
38 -> C8  Flags = 9B
39 -> C7  Flags = 93
3A -> C6  Flags = 93
3B -> C5  Flags = 93
3C -> C4  Flags = 93
3D -> C3  Flags = 93
3E -> C2  Flags = 93
3F -> C1  Flags = 93
40 -> C0  Flags = 83
41 -> BF  Flags = BB
42 -> BE  Flags = BB
43 -> BD  Flags = BB
44 -> BC  Flags = BB
45 -> BB  Flags = BB
46 -> BA  Flags = BB
47 -> B9  Flags = BB
48 -> B8  Flags = BB
49 -> B7  Flags = B3
4A -> B6  Flags = B3
4B -> B5  Flags = B3
4C -> B4  Flags = B3
4D -> B3  Flags = B3
4E -> B2  Flags = B3
